,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,購買製品区分別分類表兼供給者評価表,,,,,,,,作成/改訂年月日,,版数,,,担　当,,,承　認
1,,,,,,,,,2026.03.31,,26-01,,,吉田,,,吉　田
2,,,,,,,,,,　　 評価方法　：　　A.　問題無し　　　B.　問題有り,,,,,,,
3,,,【 年1回、3月に見直す 】,,,,,,,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　※　評価項目で問題有りが2個以上の場合、再評価する。,,,,,,,
4,,,,,,,,,,,,,,,,,
5,No.,会社名,購買品目,,,　　 製品への影響度,,　　　　　　　管理方法・程度,,,評価項目,,,,,,
6,,,,,,度合い,重要度,評価方法,購買手順,検証手順,品　質,納　期,価　格,協力度,コメント,,
7,1,(株)サワエ,外注　エンボステープ成形,,,直接,高,Q1,P1,R2,A,A,A,A,ここ数年依頼はほとんど無し,,
8,2,(株)五明紙器製作所,外注　段ボール加工品仕入,,,直接,高,Q1,P1,R2,A,A,B,A,ここ数年依頼はほとんど無し,,
9,3,立山製紙(株)　東京本部,外注　段ボール加工品仕入　　　　　　　　　　　　　　（日本エムテック向分）,,,直接,高,Q1,P1,R2,A,A,A,A,ここ数年依頼はほとんど無し,,
10,4,SPPC,外注　ブリスター、金型,,,直接,高,Q1,P1,R2,A,A,B,A,グループ会社,,
11,5,(株)阪本商店,購入品　A-PET・PVC カット品,,,直接,高,Q1,P1,R2,A,A,A,A,,,
12,6,サトー(株),購入品　IBM向けタンパーシール＆インクリボン,,,直接,高,Q1,P1,R2,A,A,B,A,ここ数年依頼はほとんど無し,,
13,7,(株)アトム包装,購入品　PP1号～PP4号,,,直接,高,Q1,P2,R2,A,A,A,A,,,
14,8,(株)ショウセイ,購入品　アイメルト　K-6000A  90個＠790,,,間接,中,Q1,P1,R2,A,A,B,A,,,
15,9,(株)日本パック,購入品　医療用カード製作依頼,,,間接,中,Q2,P2,R2,A,A,A,A,ここ数年依頼はほとんど無し,,
16,10,(有)坂田精文堂,購入品　印版,,,直接,高,Q2,P2,R2,B,A,A,A,2026.6で事業撤退予定,,
17,11,(有)高島繊維,購入品　ウエス、軍手,,,間接,低,Q2,P2,R2,A,A,A,A,,,
18,12,(株)YACガーター（旧大一）,購入品　エンボステープ用のリール,,,間接,中,Q2,P2,R2,A,A,A,A,ここ数年依頼はほとんど無し,,
19,13,宮一機工（株）,購入品　機械工具仕入,,,間接,低,Q2,P2,R3,A,A,A,A,,,
