    ProcessingCodeID      ProcessingName
0                 10             金型演算＆加工
1                 11               本型穴あけ
2                 12               本型ミガキ
3                 13              本型ネル貼り
4                 14               演算＆加工
5                 15                金型加工
6                 16               金型追加工
7                 17            金型ショートかけ
8                 20           試作金型演算＆加工
9                 21               試作穴あけ
10                22               試作ミガキ
11                23              試作ネル貼り
12                24              試作金型加工
13                30                  設計
14                31            プラグ演算＆加工
15                32          試作プラグ演算＆加工
16                33            本型手造りプラグ
17                34            試作手造りプラグ
18                40              スタッキング
19                41             サーブ木板製作
20                42  金型・プラグ・ベース修理、穴あけなど
21                43              カッター治具
22                50                  5S
23                51                  梱包
24                52                  粉砕
25                53                金型整理
26                54              メンテナンス
27                55                金型清掃
28                56               プラグ調整
29               250                  事務
30               550         プログラムトレーニング
31               560               プレス応援
32               600                材料出し
33               610                出荷作業
34               620                出荷応援
35               630                  検査
36               640                成形補助
37               700                機械加工
38               720               教育・研修
39               730                設備管理
40               740                工程管理
41               750             客先打ち合わせ
42               888                 その他
43               999       会議（JOB外、一般会議）
