CompanyID,CompanyShortName,CompanyName,CompanyRomajiName,OrderParentFolder,OrderFolderPath,CadFolderPath,CompanyAddress,CompanyTEL,CompanyFAX,CompanyNotes,UpdatedAt,UpdatedBy
1,MARUDAI,茨城（株）丸大,,,,,〒300-2746  茨城県常総市鴻野⼭129,0297-44-7772,FAX 0297-44-7773,,,
2,YSD,ヨシダパッケージ,,,,,〒212-0055　川崎市幸区南加瀬5-36-6,044-588-1621,044-588-7000,,,
3,SAKATA,坂田精文書,,,,,,,,,,
4,NICHISAN,日三化成,,,,,,,,,,
5,AOMORI,青森工場,,,,,,,,,,
6,RETURN,金型返却,,,,,,,,,,
7,TEFLON,テフロン加工,,,,,,,,,,
8,VIETNAM,ベトナム工場,,,,,,,,,,
9,MZT,水谷製作所☆,,ま行,\\server\ysd-folder\新一般注文書\ま行\み　水谷製作所 ☆#\\server\ysd-folder\新一般注文書\ま行\み　水谷製作所 ☆#,,,,,,,
10,DISPOSED,廃棄済,,,,,,,,,,
11,ESM,Eサーモジェンテック,,あ行,#\\server\ysd-folder\新一般注文書\あ行\E     Eサーモジェンテック#,,,,,,,
12,ELJ,ＥＬＪコーポレーション,,あ行,#\\server\ysd-folder\新一般注文書\あ行\E　ＥＬＪコーポレーション#,,,,,,,
13,IZW,IZW,,あ行,#\\server\ysd-folder\新一般注文書\あ行\I  IZW#,,,,,,,
14,ITJ,I-TECHJAPAN,,あ行,#\\server\ysd-folder\新一般注文書\あ行\I　I-TECH JAPAN#,,,,,,,
15,IBK,IBUKI,,あ行,#\\server\ysd-folder\新一般注文書\あ行\I　IBUKI#,,,,,,,
16,IKK,IKK(伊藤),,あ行,#\\server\ysd-folder\新一般注文書\あ行\I　IKK (伊藤)#,,,,,,,
17,INT3,I・N・T,,あ行,#\\server\ysd-folder\新一般注文書\あ行\I　I・N・T#,,,,,,,
18,MMI,MMIセミコンダクター,,あ行,#\\server\ysd-folder\新一般注文書\あ行\M　MMIセミコンダクター#,,,,,,,
19,NMK01,NMK化成,,あ行,#\\server\ysd-folder\新一般注文書\あ行\N NMK化成#,,,,,,,
