CAVID,CAV,Serial,CAVlength,CAVwidth,CAVnotes,CAVNo,UpdatedAt,UpdatedBy
1,A-74B,C6,470,300,,25,,
2,B,PS,335,265,,6,,
3,C-74F,JR,499,347,,36,,
4,D,C3,354,300,,9,,
5,E,,430,260,,20,,
6,F,,340,285,,8,,
7,G,,320,195,,5,,
8,H,,300,246,,1,,
9,I,,405,300,,17,,
10,J,,338,175,,7,,
11,K,HK,503,273,,39,,
12,L,,416,336,,18,,
13,M,,500,330,,38,,
14,O,,420,220,,19,,
15,P,,443,246,,22,,
16,Q,,310,210,,3,,
17,R,,310,240,,4,,
18,S,SMK,385,265,,14,,
19,T,,390,330,,16,,
20,U,SLK,498,245,,34,,
21,V,,355,240,,10,,
22,W,2C,492,270,,33,,
23,Y,,435,312,,21,,
24,Z,,355,260,,11,,
25,ZA-74A,,460,330,,23,,
26,ZB,,355,347,,12,,
27,ZC,,515,347,,40,,
28,ZD-74C,,470,347,,29,,
29,ZE,NEC,370,320,,13,,
30,ZF,JAE,300,285,,2,,
31,ZG,,499,253,,35,,
32,ZH,,385,290,,15,,
33,74A-ZA,,460,330,,24,,
34,74B-A,,470,300,,26,,
35,74C-ZD,,470,347,,30,,
36,74D,,470,400,,31,,
37,74E,,470,450,,32,,
38,74F-C,,499,347,,37,,
39,74G,,530,380,,42,,
40,74H,JAE,585,285,,44,,
41,74I,,590,350,,47,,
42,74J,,590,400,,48,,
43,74K,,590,450,,49,,
44,74L,KIK,640,405,,52,,
45,74M,TDK,560,360,,43,,
46,74N,TE,620,310,,50,,
47,74O,DIC,590,300,,46,,
48,NICHI53b,,470,300,日三化成,27,,
49,NICHI74C-1,,470,300,日三化成,28,,
50,NICHI74C-2,,520,370,日三化成,41,,
51,NICHI74C-3,,585,310,日三化成,45,,
52,NCHI74C-4,,620,310,日三化成,51,,
53,OTHER,,0,0,,0,,
54,TEST,,210,160,TEST,0,,
55,YMS,YMS,620,250,茨城工場,0,,
56,MTM-178,MTM,440,210,,0,,
57,A-74B,,469,299,470ｘ300から改造,0,,
