IDMaDHVT,MSVatTu,JobID,DonViDH,DonGiaDH,PhiVanChuyenVT,NgayNhanVT,SoLuongDH,GiaThanhDH,TongSoChiec,GiaBanLe,IDNhanVien,DaNhanHang,GhiChuDH,GiaThanh,UpdatedAt,UpdatedBy
2,GEL-10,,箱,1200,0,4/28/2022,10,1200,,,1,TRUE,Keo dan khuon nhanh,12000,,
4,SR44,,ケ,340,0,6/8/2022,10,3400,1,340,1,FALSE,,3400,,
5,THINNER SP600,,缶,5500,0,6/8/2022,2,11000,,,1,TRUE,,11000,,
7,DLCHD 6.0,,本,1397,,6/8/2022,2,2794,,,1,TRUE,,2794,,
8,DLCHDSL8.0,,本,4600,,6/8/2022,1,4600,,,1,TRUE,,4600,,
9,EX-REXL10.0,,本,13000,,6/10/2022,1,13000,,,1,TRUE,,13000,,
11,MILL S-FPAS18,,本,9562,,6/10/2022,2,19124,,,1,TRUE,,19124,,
12,EX-191D,,缶,13300,0,6/13/2022,1,13300,,,1,TRUE,,13300,,
13,7614,,本,800,,6/13/2023,2,1600,,,1,TRUE,,1600,,
14,BLADE S10,,P,2360,,6/14/2023,1,2360,,,1,TRUE,,2360,,
15,MILL WAF303161,,本,24400,0,6/14/2022,1,24400,1,24400,1,TRUE,,24400,,
16,ONIME M6x13,,ケ,19.5,0,6/17/2023,400,7800,,,1,TRUE,,7800,,
17,SLEML9x0,,ケ,3120,,6/17/2022,3,9360,,,1,TRUE,,9360,,
18,SLEML 8.6x5,,ケ,8760,,6/17/2022,3,26280,,,1,TRUE,,26280,,
19,7447-320,,枚,190,0,6/20/2022,20,3800,,,1,TRUE,,3800,,
20,MASK SSN-01,,ケ,1100,0,6/20/2022,3,3300,,,1,TRUE,,3300,,
21,OIL2M,,個,11000,,6/20/2022,1,11000,,,1,TRUE,,11000,,
22,ALD-CD35,,本,680,,3/23/2022,10,6800,,,1,TRUE,,6800,,
23,PKP4x90,,本,4750,0,7/5/2022,2,9500,,,1,TRUE,,9500,,
24,HYP-B171,,ケ,11025,0,7/5/2022,1,11025,,,1,TRUE,,11025,,
25,HYP-SH62,,ケ,4500,0,7/5/2022,1,4500,,,1,TRUE,,4500,,
26,BS85,,M,5600,,7/6/2022,20,5600,,,1,TRUE,,112000,,
27,MILL HLS2020-200,,本,1920,0,7/7/2022,1,1920,,,1,TRUE,,1920,,
28,AIR208,,本,1550,,7/7/2022,1,3100,,,1,TRUE,,1550,,
29,CUPLA200T,,ケ,3162,,7/7/2022,1,3162,,,1,TRUE,,3162,,
31,8447-280,,枚,225,,7/8/2022,20,4500,,,1,TRUE,,4500,,
32,SUS 1/4SPT,,ケ,28.4,,7/11/2022,200,5680,,,1,TRUE,,5680,,
33,KM20-11,,ケ,3287,,7/12/2022,1,3287,,,1,TRUE,,3287,,
34,KM20-5.5,,ケ,3287,0,7/15/2022,1,3287,,,1,TRUE,,3287,,
35,7440-180,,箱,4450,0,7/15/2022,1,4450,50,89,1,TRUE,,4450,,
36,BIS3.0x20,,箱,1764,0,7/21/2022,2,3528,,,1,TRUE,,3528,,
37,YSD60,,缶,6310,0,7/21/2022,2,12620,,,1,TRUE,,12620,,
38,EX-191D,,缶,13300,0,7/21/2022,1,13300,,,1,TRUE,,13300,,
39,K-601-DX,,ケ,3902,,7/22/2022,1,3902,,,1,TRUE,Voi hoi cho phong kensa,3902,,
40,SX-509,,缶,12940,0,7/22/2022,1,12940,,,1,TRUE,,12940,,
41,DLCHD3.3,,本,697,0,7/26/2022,1,697,,,1,TRUE,,697,,
42,SR35,,箱,1400,0,7/27/2022,1,1400,880,2,1,TRUE,,1400,,
43,TAPE 541-25x10,,ケ,1840,,7/28/2022,5,0,,,1,FALSE,,9200,,
44,DLCHD3.3,,本,743,0,8/2/2022,3,,,,1,TRUE,,2229,,
45,MCG701N,,ケ,2215,0,8/4/2022,5,,10,222,1,TRUE,,11075,,
46,SX-509,,缶,12940,0,8/8/2022,2,,,,1,TRUE,,25880,,
47,EX-191D,,缶,14600,0,8/8/2022,2,,,,1,TRUE,,29200,,
48,MILL HLS2020-200,,本,1920,0,8/9/2022,2,,,,1,TRUE,,3840,,
49,MI,,,485,0,8/9/2022,10,,,,1,TRUE,,4850,,
50,SP95,,缶,16600,1000,8/10/2022,1,,1,16600,1,TRUE,,16600,,
51,F649TX10,,本,17244,0,8/18/2022,1,,,,1,TRUE,,17244,,
52,3/8PT,,ケ,198,0,8/18/2022,100,,,,1,TRUE,,19800,,
53,LB50K,,ケ,1450,0,8/19/2022,1,,,,1,TRUE,,1450,,
54,TPDR37,,本,14400,0,8/19/2022,2,,,,1,TRUE,,28800,,
55,TPDS63,,本,5350,0,8/19/2022,1,,,,1,FALSE,,5350,,
56,7447-320,,枚,190,0,8/19/2022,20,,,,1,TRUE,,3800,,
57,CUPLA6220,,ケ,4235,2,8/19/2022,7,,,,1,TRUE,,29645,,
58,CUPLA6221,,ケ,4235,0,8/19/2022,3,,,,1,TRUE,,12705,,
59,LB50K,,ケ,1450,0,8/22/2022,1,,,,1,TRUE,,1450,,
60,PAPER120,,枚,89,0,8/22/2022,50,,,,1,TRUE,,4450,,
61,YSD60,,缶,6310,0,8/22/2022,1,,,,1,TRUE,,6310,,
62,silicon d11x1m,,ｍ,2880,0,8/25/2022,1,,,,1,TRUE,,2880,,
63,SPRAY1,,本,580,0,8/30/2022,2,,,,1,FALSE,,1160,,
64,AA120S 100x15,,枚,702,0,8/30/2022,5,,,,1,TRUE,,3510,,
65,TAPSPRAY,,本,1180,0,8/30/2022,1,,,,1,TRUE,,1180,,
66,HASAMI240,,ケ,2060,0,8/31/2022,5,,,,1,TRUE,,10300,,
67,DLCHDSL3.3,,本,1940,0,9/1/2022,1,,1,1940,1,TRUE,,1940,,
68,DLCHDSL4.2,,本,2370,0,9/1/2022,1,,,,1,TRUE,,2370,,
69,MASK SSN-01,,ケ,1100,0,9/1/2022,3,,,,1,TRUE,,3300,,
70,HSM-90,,台,16950,0,9/5/2022,1,,,,1,TRUE,,16950,,
71,EA12-525,,ケ,2200,0,9/9/2022,1,,,,1,TRUE,,2200,,
72,2XLF3x20,,ケ,2749,0,9/12/2022,2,,,,1,TRUE,,5498,,
73,2XLF3x30,,ケ,2749,0,9/12/2022,1,,,,1,TRUE,,2749,,
74,EA44SC-50,,ケ,940,0,9/12/2022,3,,,,1,TRUE,,2820,,
75,WEIAL115,,ケ,2420,0,9/21/2022,1,,,,1,TRUE,,2420,,
76,KM32-16,,ケ,4000,0,9/22/2022,1,,,,1,TRUE,,4000,,
77,KM20-5,,ケ,3320,0,9/22/2022,1,,,,1,TRUE,,3320,,
78,SHOWER568094113,,ケ,1390,0,9/22/2022,1,,,,1,TRUE,,1390,,
79,SR30,,箱,1415,0,9/26/2022,1,,910,2,1,TRUE,,1415,,
80,SX-509,,缶,12940,0,9/26/2023,1,,,,1,TRUE,,12940,,
81,YSD60,,缶,6310,0,9/26/2022,1,,,,1,TRUE,,6310,,
82,DLCHD3.0,,本,537,0,9/27/2022,2,,,,1,FALSE,,1074,,
83,EM4NT10,,ケ,2270,0,11/1/2022,1,,,,1,FALSE,,2270,,
84,THINNER SP600,,缶,5500,0,11/1/2022,1,,,,1,TRUE,,5500,,
85,SR44,,ケ,340,0,11/7/2022,10,,1,340,1,TRUE,,3400,,
86,BIS3.0x20,,箱,1950,0,11/7/2022,1,,,,1,FALSE,,1950,,
87,EA944SE-50,,ケ,3240,0,11/7/2022,1,,,,1,TRUE,,3240,,
89,ONIME M6x13,,ケ,22,0,11/7/2022,200,,,,1,TRUE,,4400,,
90,HYP-SH62,,ケ,4700,0,11/11/2022,1,,,,1,TRUE,,4700,,
