ProcessingCodeID,ProcessingName,Note,UpdatedAt,UpdatedBy
0,トレイ設計,0,,
1,３Dトレイ図面作成,0,,
2,３D金型図面作成,0,,
3,３Dプラグ図面作成,0,,
4,３D試作プラグ図面作成,0,,
5,３D試作金型作成,0,,
6,裏穴図面作成,0,,
7,表プログラム作成,0,,
8,レイアウト,0,,
10,金型演算＆加工,100,,
11,本型穴あけ,120,,
12,本型ミガキ,130,,
13,本型ネル貼り,140,,
14,演算＆加工,101,,
15,金型加工,110,,
16,金型追加工,150,,
17,金型ショートかけ,160,,
20,試作金型演算＆加工,200,,
21,試作穴あけ,220,,
22,試作ミガキ,230,,
23,試作ネル貼り,240,,
24,試作金型加工,210,,
30,設計,300,,
31,プラグ演算＆加工,310,,
32,試作プラグ演算＆加工,320,,
33,本型手造りプラグ,400,,
34,試作手造りプラグ,410,,
40,スタッキング,520,,
41,サーブ木板製作,430,,
42,金型・プラグ・ベース修理、穴あけなど,420,,
43,カッター治具,540,,
50,5S,500,,
51,梱包,530,,
52,粉砕,510,,
53,金型整理,570,,
54,メンテナンス,710,,
55,金型清掃,0,,
56,プラグ調整,0,,
250,事務,250,,
550,プログラムトレーニング,550,,
560,プレス応援,560,,
600,材料出し,600,,
610,出荷作業,610,,
620,出荷応援,620,,
630,検査,630,,
640,成形補助,640,,
700,機械加工,700,,
720,教育・研修,720,,
730,設備管理,730,,
740,工程管理,740,,
750,客先打ち合わせ,750,,
888,その他,888,,
999,会議（JOB外、一般会議）,999,,
