TrayCustomerID,CustomerNo,Destination,Address,Client,Sub,PhoneNumber,FAX,Remarks,FolderLink,UpdatedAt,UpdatedBy
1,11,ＳＭＫ（株）ひたち　　,*,ＳＭＫ（株）　崎村,ＦＣ生産技術部　　田辺　治雄,0293-20-2140,,,,,
2,111,ＳＭＫ（株）　本社,*,ＳＭＫ（株）　崎村,ＦＣ設計　真野,*,,,,,
3,888,*,*,*,*,*,,,,,
4,999,後日確認,*,*,*,*,,,,,
5,A3C,エースリーシー・デザイン事務所,横浜市都筑区荏田南5-21-30  ｼｪﾙみずきが丘203号,A3C01,天野,045-948-0434,045-948-0454,,,,
6,AAK,（株）アーク　　RPT工場,山梨県富士吉田市小明見4252,AAK01,宮宅,0555-23-4325,0555-23-9203,,,,
7,AAK1,（株）アーク　　,〒190-0182　　東京都西多摩郡日の出町平井22-7,AAK01　,量産事業本部　量産事業部　生産Gr.　購買課,042-519-9821,042-519-9864,,,,
8,AAT,(株)エイアンドティー,〒252-0816　　神奈川県藤沢市遠藤2023-1,AAT01　　1334,購買Gr.　湘南ﾁｰﾑ　　昆野 様宛,0466-86-8682,0466-86-8748,,,,
9,AB,(株)エービー,〒969-0101　　福島県西白河郡泉崎村大字泉崎字上狐山2-1,AB01　　1034,兼子 様宛,0248-53-2043,,,,,
10,ACD,(株)エースキャド,〒155-0032　　東京都世田谷区代沢4-27-8 ｸｳｪｽﾄｽｸｴｱ1F,ACD01　　1259,安東 様宛,03-5433-6375,03-5433-6375,,,,
11,ADK,（株）エーディーケイ,大田区京浜島2-2-10,ADK01,*****,03-3790-1565,03-3790-0386,,,,
12,AND,(株)ｱﾄﾞﾆｸｽ,〒193-0931　　東京都八王子市台町4-45-15 ｱﾙｶﾃﾞｨｱ西八王子2F,ADN01　　1109,新家 様宛,0426-69-3060,0426-69-3061,,,,
13,ADO,アドバンテック   宮古工場,*,ＳＭＫ（株）杉村,*,*,,,,,
14,ADV,（株）アドバネクス   本社　　,*,ADV03,TTセンター　鈴木,*,,,,,
15,ADV1,（株）アドバネクス　　福島ファクトリー,*,ADV01,*,0247-72-6101,,,,,
16,ADV2,（株）アドバネクス　柏崎ファクトリー,新潟県柏崎市大字藤井字西沖1355,ADV02,猪俣,0257-24-2156,,,,,
17,ADV3,（株）アドバネクス　柏崎ファクトリー,新潟県柏崎市大字藤井字西沖1355,ADV02,第一工場,0257-24-2141,0257-22-3320,,,,
18,ADV4,（株）アドバネクス　柏崎ファクトリー,新潟県柏崎市大字藤井字西沖1355,ADV02,ロジスティックス　アソシエイツ　田中,0257-22-2746,*,,,,
19,ADV5,（株）アドバネクス　柏崎ファクトリー,新潟県柏崎市大字藤井字西沖1355,ADV02,*,*,*,,,,
20,ADV6,（株）アドバネクス　東京ロジスティクスセンター,東京都荒川区町屋7-6-4,ADV03,D2アソシエイツ　井村,03-3809-4832,03-3809-4839,,,,
21,ADV7,（株）アドバネクス　柏崎ファクトリー,新潟県柏崎市大字藤井字西沖1355,ADV02,第三工場,0257-24-2141,0257-22-6261,,,,
22,ADV8,（株）アドバネクス　柏崎ファクトリー,〒945-0193　　新潟県柏崎市大字藤井字西沖1287-1,ADV02,第二工場　　坂牧 様宛,0257-24-2419,0257-22-1580,,,,
23,ADV11,（株）ｱﾄﾞﾊﾞﾝﾃｽﾄﾃﾞｨｰｱｲ,埼玉県北埼玉郡大利根町新利根1-4-4,NPC01,資材部 購買課  岡安,0480-72-7069,,,,,
24,AFM,（株）ｴｰｴﾌｴﾑｼｰ,神奈川県横浜市港北区新羽町165,AFM01,高橋,045-532-0041,045-532-0091,,,,
25,AHN,（株）朝比奈　本社,町田市成瀬5223,*,島田,042-722-1901,,,,,
26,AHP,(株)アサヒプレシジョン　本社,〒949-5411　　新潟県長岡市来迎寺1750-1,AHP01　　995,製造部　　佐藤 様宛,0258-92-6440,0258-92-6443,,,,
27,AIDK,アイデックス（株）　,秋田県鹿角市十和田山根字上ノ平1番地,NPC01,組立1課  近藤,0186-35-5111,,,,,
28,AIDS,アイデックス（株）　,秋田県鹿角市十和田山根字上ノ平1番地,NPC01,組立1課  柴田,0186-35-5111,,,,,
29,AIDY,アイデックス（株）　,秋田県鹿角市十和田山根字上ノ平1番地,NPC01,組立1課  湯沢,0186-35-5111,,,,,
30,AIH,(有)相原製作所,〒343-0115　　埼玉県葛飾郡松伏町上赤岩1683-1,AIH01　　1356,飯塚 様宛,048-991-8984,048-991-8985,,,,
31,AIN,(株)ｱｲﾝ,〒391-0213　　長野県茅野市豊平374-2,AIN01　　1033,営業部　　金丸 様宛,0266-72-7165,0266-73-5031,,,,
32,AIS,(株)ｱｲｾｽ,〒018-1512　秋田県南秋田郡井川町北川尻字下田面替場11-1,AIS01　　1136,資材　　高橋 様宛,018-874-3252,018-874-3242,,,,
33,AKK,朝日金属工業（株）,山形県長井市平山647-3,ＭＢＳ01,開発営業　　菅野,0238-84-1890,,,,,
34,AKM2,秋元製作所,〒340-0803　　埼玉県八潮市上馬場471-4,AKM02　1145,秋元 様宛,048-995-8715,048-995-8715,,,,
35,AKS,ｱｸｾﾌﾟﾄ 株式会社,埼玉県狭山市水野字月見野399,AKS01,藤岡,042-958-0037,042-958-3261,,,,
36,AKS2,明石石油(株),〒430-0944　　静岡県浜松市中区田町228-5,AKS02　　1128,営業部 第２課　　中村 様宛,053-453-5772,053-452-5976,,,,
37,AKT,（株）アクト ・ジャパン　伊那工場,長野県上伊那郡南箕輪村6213,KBY02  小林精工,細野,0265-74-9322,,,,,
38,ALF,(株)アルファクト,"〒2220033　横浜市港北区新横浜3-20-8　
ベネックスＳ-3　4F",ALF01,長瀬 様宛,045-470-7066,045-475-3392,,,,
39,ALM,(株)アラマキ　配送センター,〒329-0911　　栃木県宇都宮市問屋町3172-66,ALM01　　1201,神山 様宛,028-656-2631,028-656-2860,,,,
40,ALP,ｱﾙﾌﾟｽ電気(株),〒989-6181　　宮城県大崎市古川中里6-3-36,ALP01　　1099,技術本部 M8技術部　　時田 様宛,0229-23-5111,0229-23-5107,,,,
41,ALP2,ｱﾙﾊﾟｲﾝﾌﾟﾚｼｼﾞｮﾝ(株),〒979-3131　　福島県いわき市平赤井字反町48-1,ALP02　　1247,意匠生産技術Gr.　開発ﾁｰﾑ　和田 様宛,0246-21-0008,0246-21-0108,,,,
42,ALJ,アレントジャパン(株),〒254-0082　　神奈川県平塚市東豊田480-28,ALJ01　　1411,アルファ事業部 JRC　　村上 様宛,0463-53-3333,0463-53-3311,,,,
43,AMEC1,三晶MEC（株）　有金工場,*,AMP  B伝,*,0764-75-6611,,,,,
44,AMEC2,三晶MEC（株）　本社工場,富山県滑川市中新1029-1,A伝　本間,吉田,0764-75-7195,,,,,
45,AMG,(有)ｱﾂﾞﾏ合成樹脂,〒254-0032　　神奈川県平塚市八千代町19-25,AMG01　　1209,山崎 様宛,0463-21-4096,0463-21-4036,,,,
46,AMP1,タイコ　エレクトロニクス　ジャパン合同会社,,A伝,川崎エンジニアリングセンター,044-900-5196,,,,,
47,AMP2,タイコ　エレクトロニクス　ジャパン合同会社,川崎市多摩区登戸3816,A伝,KEC  梱包技術課　　勝俣,044-900-5196,,,,,
48,AMP3,タイコ　エレクトロニクス　ジャパン合同会社,梱包技術課　　小林　康浩,A伝,川崎エンジニアリングセンター,044-900-5196,,,,,
49,AMP4,タイコ　エレクトロニクス　ジャパン合同会社,CC&CE ﾓｰﾙド技術　　小尾,A伝    勝俣,川崎エンジニアリングセンター,044-900-5010,,,,,
50,AMP5,タイコ　エレクトロニクス　ジャパン合同会社,インダストリアル本部　製造技術課　青木,A伝,川崎エンジニアリングセンター,044-900-5035,,,,,
51,AMP6,タイコ　エレクトロニクス　ジャパン合同会社,VAO統括部　基板技術部　技術課　網倉,A伝　,川崎エンジニアリングセンター,*,,,,,
52,AMP7,タイコ　エレクトロニクス　ジャパン合同会社,川崎市多摩区登戸3816,A伝　平井,インダストリアル本部　技術2課　菅波,044-900-5076,,,,,
53,AMP8,タイコ　エレクトロニクス　ジャパン合同会社,インダストリアル本部　第2技術部　佐々木,A伝,川崎エンジニアリングセンター,044-900-5076,,,,,
54,AMP9,タイコ　エレクトロニクス　ジャパン合同会社,川崎市多摩区登戸3816,A伝　平井,インダストリアル本部　生産技術管理課　平井,044-900-5035,,,,,
55,AMP10,タイコ　エレクトロニクス　ジャパン合同会社,新製品管理課　吉村,A伝    勝俣,川崎エンジニアリングセンター,044-900-5196,,,,,
56,AMP11,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市相川2002,AMP　小林,静岡第一工場 守衛留め:VAO課 杉本課長,054-622-1133,054-622-1093,,,,
57,AMP12,タイコ　エレクトロニクス　ジャパン合同会社,*,AMP A伝　豊福,川崎エンジニアリングセンター,044-900-5196,,,,,
58,AMP13,タイコ　エレクトロニクス　ジャパン合同会社,TE-AMP  調達品ｸﾞﾙｰﾌﾟ　　山梨,*,*,*,,,,,
59,AMP14,タイコ　エレクトロニクス　ジャパン合同会社,インダストリアル本部　製造技術課　益子,A伝,川崎エンジニアリングセンター,044-900-5035,,,,,
60,AMP15,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市相川2002,AMP,静岡第1工場　カワイ様,054-622-1136,,,,,
61,AMP16,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市相川2002,B伝,静岡第1工場　受入様,054-622-1133,,,,,
62,AMP17,タイコ　エレクトロニクス　ジャパン合同会社,*,A伝,インダストリアル本部　生産技術管理課　張,044-900-5035,,,,,
63,AMP21,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,Ｂ伝,静岡第２工場　受入係,054-622-7000,,,,,
64,AMP22,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,三晶技研（株）,静岡第２工場　ﾓｰﾙﾄﾞ　末松,054-622-9791,,,,,
65,AMP23,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,A伝　購買  小泉,静岡第２工場　ﾓｰﾙﾄﾞ技術　増田,054-622-9791,,,,,
66,AMP24,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,A伝　購買  小泉,静岡第２工場　ME 高橋,054-622-1134,,,,,
67,AMP25,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,AMP,静岡第２工場　製造技術課 高橋　勝利,054-622-1134,,,,,
68,AMP26,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,AMP  逢澤  A伝,静岡第２工場　増田 博美課長,054-622-1134,,,,,
69,AMP27,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,A伝　購買  小泉,静岡第２工場　ﾓｰﾙﾄﾞ　鈴木,054-622-9791,,,,,
70,AMP28,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,AMP,静岡第２工場　第2成造部 増田,054-622-1134,,,,,
71,AMP29,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市藤守　2824-1,A伝　購買  野口,静岡第２工場　工程技術　田村,054-622-7009,,,,,
72,AMP30,タイコ　エレクトロニクス　ジャパン合同会社,自動車本部　製造技術部　組立技術課　高橋和弥,A伝　高橋,川崎エンジニアリングセンター,,,,,,
73,AMP31,タイコ　エレクトロニクス　ジャパン合同会社,静岡県焼津市大島1874-1,AMP01　B伝,静岡第２工場 受入係 松葉倉庫㈱　焼津倉庫,054-270-6821,,,,,
74,AMP32,タイコ　エレクトロニクス　ジャパン合同会社,〒436-0040　　静岡県掛川市菖蒲ヶ池100番地,AMP01　,掛川工場,0537-88-2300,,,,,
75,AND1,ｱﾝﾃﾞｽ電気（株）　青森工場,*,AND03,*,*,,,,,
76,AND2,ｱﾝﾃﾞｽ電気（株）　青森工場　桜田,青森県青森市富田3-8-31,AND03,*,017-782-1999,,,,,
77,AND3,ｱﾝﾃﾞｽ電気（株）　青森工場　,青森県青森市富田3-8-31,AND03,業務課　　坂本,017-782-1999,017-782-1651,,,,
78,AND4,ｱﾝﾃﾞｽ電気（株）　青森工場,*,AMP 勝俣,*,*,,,,,
79,AOM,青森　　桜総業,*,松南クラフトSON01,*,*,,,,,
