CutterMasterID,CutterMasterCode,CutterMasterName,DesignMasterID,CustomerID,TrayID,Status,CreatedAt,UpdatedAt,Notes,UpdatedBy
1,-CID-3084,KSP117,4191,,4734,ACTIVE,1/5/2026,3/10/2026,seed from tblCutter CutterID=3084,
2,-CID-3085,JAE237,3693,,4520,ACTIVE,1/8/2026,3/10/2026,seed from tblCutter CutterID=3085,
3,-CID-3086,SSM058,77,,5189,ACTIVE,1/19/2026,3/10/2026,seed from tblCutter CutterID=3086,
4,-CID-3087,SIT029,4578,,5193,ACTIVE,2/4/2026,3/10/2026,seed from tblCutter CutterID=3087,
5,-CID-3089,MTM189,63,,5172,ACTIVE,2/26/2026,3/10/2026,seed from tblCutter CutterID=3089,
6,-CID-3090,SMK218R3,4586,,5209,ACTIVE,2/26/2026,3/10/2026,seed from tblCutter CutterID=3090,
7,-CID-3091,JAE346,4380,,4961,ACTIVE,2/26/2026,3/10/2026,seed from tblCutter CutterID=3091,
8,-CID-3092,AON005,68,,5216,ACTIVE,3/6/2026,3/10/2026,seed from tblCutter CutterID=3092,
9,JAE356-CID-3058,JAE-356,94,,5089,ACTIVE,9/29/2025,3/10/2026,seed from tblCutter CutterID=3058,
10,SIT025-CID-3059,SIT-025,85,,5079,ACTIVE,10/3/2025,3/10/2026,seed from tblCutter CutterID=3059,
11,TE24868482-CID-3060,TE-2486848-2,2722,,35,ACTIVE,10/7/2025,3/10/2026,seed from tblCutter CutterID=3060,
12,TE24868481-CID-3061,TE-2486848-1,2721,,34,ACTIVE,10/7/2025,3/10/2026,seed from tblCutter CutterID=3061,
13,ENT004-CID-3062,ENT-004,88,,5117,ACTIVE,10/10/2025,3/10/2026,seed from tblCutter CutterID=3062,
14,RPD006R1-CID-3063,RPD-006 R1,27,,5122,ACTIVE,10/22/2025,3/10/2026,seed from tblCutter CutterID=3063,
15,JAE357R3-CID-3064,JAE-357 R3,30,,5125,ACTIVE,10/22/2025,3/10/2026,seed from tblCutter CutterID=3064,
16,SCW004-CID-3065,SCW-004,31,,5126,ACTIVE,10/22/2025,3/10/2026,seed from tblCutter CutterID=3065,
17,RPD004R2-CID-3066,RPD-004 R2,24,,5119,ACTIVE,10/22/2025,3/10/2026,seed from tblCutter CutterID=3066,
18,TE24933072-CID-3068,TE-2493307-2,91,,5129,ACTIVE,10/22/2025,3/10/2026,seed from tblCutter CutterID=3068,
19,TE24941471-CID-3069,TE-2494147-1,4565,,5132,ACTIVE,10/22/2025,3/10/2026,seed from tblCutter CutterID=3069,
20,OOT044-CID-3070,OOT-044,5,,5144,ACTIVE,11/14/2025,3/10/2026,seed from tblCutter CutterID=3070,
21,TOK020-CID-3071,TOK-020,8,,5147,ACTIVE,11/20/2025,3/10/2026,seed from tblCutter CutterID=3071,
22,YCM078-CID-3072,YCM-078,13,,5138,ACTIVE,11/20/2025,3/10/2026,seed from tblCutter CutterID=3072,
23,CHG005R1-CID-3073,CHG-005 R1,40,,5157,ACTIVE,12/1/2025,3/10/2026,seed from tblCutter CutterID=3073,
24,YCM038B-CID-175,YCM-038B,3274,230,2716,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=175,
25,NPR002-CID-176,NPR-002,1759,271,1463,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=176,
26,SSK005-CID-177,SSK-005,2276,80,1874,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=177,
27,JAE090-CID-179,JAE-090,752,177,638,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=179,
28,MYS003-CID-180,MYS-003,1548,11,1303,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=180,
29,KSC003-CID-181,KSC-003,1149,197,990,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=181,
30,OIK001-CID-185,OIK-001,1864,289,1558,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=185,
31,ORM001-CID-186,ORM-001,1871,333,4097,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=186,
32,YZW001-CID-187,YZW-001,3529,284,2920,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=187,
33,QAS003-CID-188,QAS-003,1986,280,1660,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=188,
34,TKS021-CID-189,TKS-021,3137,99,2595,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=189,
35,YOK003-CID-190,YOK-003,3359,239,2779,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=190,
36,SJK010-CID-191,SJK-010,2097,281,1753,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=191,
37,KBT001-CID-192,KBT-001,953,311,823,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=192,
38,JAE051-CID-193,JAE-051,736,177,3919,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=193,
39,TNX013-CID-194,TNX-013,3159,102,2613,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=194,
40,DIC036-CID-195,DIC-036,473,141,308,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=195,
41,YES003-CID-196,YES-003,3314,231,2747,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=196,
42,SMK185-CID-197,SMK-185,2199,71,4165,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=197,
43,YSM042-CID-198,YSM-042,3503,241,2895,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=198,
44,KSP179-CID-199,KSP-179,1327,199,1123,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=199,
45,OOT020-CID-200,OOT-020,1887,38,4099,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=200,
46,OOT025-CID-201,OOT-025,1892,38,1578,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=201,
47,KIK005T-CID-202,KIK-005T,1057,291,911,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=202,
48,KIK005B-CID-203,KIK-005B,1056,291,911,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=203,
