LocationLogID,OldRackLayer,NewRackLayer,MoldID,CutterID,notes,EmployeeID,DateEntry,UpdatedAt,UpdatedBy
3,,601,4775,,,,2024/12/02 14:33:24,,
4,,601,4776,,,,2024/12/02 14:36:41,,
5,,601,4025,,,,2024/12/02 14:37:33,,
6,,601,4777,,,,2024/12/02 14:38:46,,
7,,601,4778,,,,2024/12/02 14:42:03,,
8,,601,4783,,,,2024/12/02 15:25:05,,
9,,601,4784,,,,2024/12/02 15:25:26,,
10,,601,4785,,,,2024/12/02 15:25:40,,
11,,601,3937,,,,2024/12/02 15:25:57,,
12,,601,3936,,,,2024/12/02 15:26:45,,
13,,601,4786,,,,2024/12/02 15:27:24,,
14,,601,4787,,,,2024/12/02 15:27:53,,
15,,601,4788,,,,2024/12/02 15:28:16,,
16,,601,4789,,,,2024/12/02 15:28:31,,
17,,602,4790,,,,2024/12/02 15:29:27,,
18,,602,4791,,,,2024/12/02 15:37:24,,
19,,602,4792,,,,2024/12/02 15:39:26,,
20,,602,4793,,,,2024/12/02 15:40:47,,
21,,602,4794,,,,2024/12/02 15:41:27,,
22,,602,4795,,,,2024/12/02 15:41:45,,
23,,602,4796,,,,2024/12/02 15:42:48,,
24,,602,4797,,,,2024/12/02 15:52:11,,
25,,602,4798,,,,2024/12/02 15:54:08,,
26,,602,4799,,,,2024/12/02 15:54:25,,
27,,602,4800,,,,2024/12/02 15:54:42,,
28,,602,4801,,,,2024/12/02 15:55:14,,
29,,602,3254,,,,2024/12/02 15:59:39,,
30,,602,4802,,,,2024/12/02 16:00:01,,
31,,602,4603,,,,2024/12/02 16:00:11,,
32,,602,4325,,,,2024/12/02 16:00:18,,
33,,602,4803,,,,2024/12/02 16:07:26,,
34,,602,4804,,,,2024/12/02 16:10:36,,
35,,602,4805,,,,2024/12/02 16:18:29,,
36,,602,4806,,,,2024/12/02 16:19:27,,
37,802,602,4751,,,,2024/12/02 16:19:58,,
38,,602,4807,,,,2024/12/02 16:20:14,,
39,,602,4808,,,,2024/12/02 16:20:40,,
40,,602,3768,,,,2024/12/02 16:20:46,,
41,802,603,3246,,,,2024/12/02 16:21:08,,
42,,603,4809,,,,2024/12/02 16:24:44,,
43,,603,4810,,,,2024/12/02 16:25:02,,
44,,603,4811,,,,2024/12/02 16:25:22,,
45,,603,4812,,,,2024/12/02 16:26:03,,
46,,603,4813,,,,2024/12/02 16:26:39,,
47,,603,4814,,,,2024/12/02 16:27:11,,
48,,603,4815,,,,2024/12/02 16:27:37,,
49,,603,3999,,,,2024/12/02 16:27:43,,
50,602,603,4714,,,,2024/12/02 16:29:30,,
51,707,603,2930,,,,2024/12/02 16:29:42,,
52,802,603,4268,,,,2024/12/02 16:29:48,,
53,,603,3541,,,,2024/12/02 16:29:54,,
54,,603,4816,,,,2024/12/02 16:30:25,,
55,,603,4817,,,,2024/12/02 16:31:03,,
56,,603,3089,,,,2024/12/02 16:31:49,,
57,,603,4818,,,,2024/12/02 16:33:15,,
