MoldCutterID,CutterID,MoldDesignID,DateEntry,MoldCutterNotes,UpdatedAt,UpdatedBy
255,175,3232,8/5/2024,YCM-038B,,
270,176,1683,8/5/2024,,,
234,177,2212,8/5/2024,,,
320,179,660,8/5/2024,,,
268,180,1470,8/5/2024,字有,,
269,180,1471,8/5/2024,,,
325,181,1071,8/5/2024,,,
264,185,1788,8/5/2024,,,
252,186,1795,8/5/2024,,,
246,187,3490,8/5/2024,,,
250,188,1914,8/5/2024,,,
238,189,3096,8/5/2024,,,
366,190,1325,8/8/2024,ノート,,
274,190,3319,8/5/2024,,,
287,191,2026,8/5/2024,,,
228,192,873,8/5/2024,,,
344,193,643,8/5/2024,,,
345,193,647,8/5/2024,,,
249,194,3119,8/5/2024,,,
248,195,298,8/5/2024,,,
272,196,3274,8/5/2024,,,
259,197,2128,8/5/2024,,,
286,198,3464,8/5/2024,,,
305,199,1249,8/5/2024,,,
251,200,1811,8/5/2024,,,
267,201,1816,8/5/2024,,,
291,202,978,8/5/2024,,,
292,203,977,8/5/2024,,,
265,204,681,8/5/2024,,,
290,205,677,8/5/2024,,,
289,205,725,8/5/2024,,,
304,206,270,8/5/2024,,,
303,206,271,8/5/2024,,,
301,207,268,8/5/2024,,,
302,207,269,8/5/2024,,,
306,208,3251,8/5/2024,,,
318,209,3256,8/5/2024,,,
229,210,2209,8/5/2024,,,
230,210,2210,8/5/2024,,,
315,211,1264,8/5/2024,,,
316,211,1265,8/5/2024,,,
312,211,1266,8/5/2024,,,
313,211,1267,8/5/2024,,,
283,212,1224,8/5/2024,,,
284,212,1225,8/5/2024,,,
285,212,1228,8/5/2024,,,
197,213,1186,8/5/2024,,,
728,213,1198,8/16/2024,,,
729,213,1210,8/16/2024,,,
730,213,1211,8/16/2024,,,
1399,213,1214,9/11/2024,,,
198,213,1233,8/5/2024,,,
199,213,1237,8/5/2024,,,
1546,213,1261,10/9/2024,,,
1547,213,1262,10/9/2024,,,
200,213,1273,8/5/2024,,,
293,214,924,8/5/2024,,,
294,214,933,8/5/2024,,,
273,215,1920,8/5/2024,,,
253,216,3304,8/5/2024,,,
254,216,3305,8/5/2024,,,
235,217,560,8/5/2024,,,
275,218,1325,8/5/2024,,,
323,219,1923,8/5/2024,,,
899,219,1924,8/16/2024,,,
347,220,1476,8/5/2024,,,
348,220,1477,8/5/2024,,,
159,221,2091,8/5/2024,,,
158,222,1341,8/5/2024,,,
157,223,2909,8/5/2024,,,
156,224,439,8/5/2024,,,
155,225,1425,8/5/2024,,,
152,226,3441,8/5/2024,,,
153,226,3442,8/5/2024,,,
154,226,3446,8/5/2024,,,
151,227,3011,8/5/2024,,,
149,228,701,8/5/2024,,,
148,228,2053,8/5/2024,,,
150,228,2420,8/5/2024,,,
147,229,41,8/5/2024,,,
146,230,151,8/5/2024,,,
145,230,154,8/5/2024,,,
144,231,3106,8/5/2024,,,
143,232,1952,8/5/2024,SDSJ001,,
910,232,1954,8/16/2024,,,
142,234,1073,8/5/2024,,,
721,234,1093,8/16/2024,,,
141,235,3482,8/5/2024,,,
139,236,1423,8/5/2024,,,
138,236,1424,8/5/2024,,,
140,236,1429,8/5/2024,,,
137,237,1082,8/5/2024,,,
136,238,3006,8/5/2024,,,
135,239,1632,8/5/2024,,,
134,240,541,8/5/2024,,,
133,241,3176,8/5/2024,,,
131,242,1489,8/5/2024,,,
132,242,1490,8/5/2024,,,
130,243,1872,8/5/2024,,,
129,245,55,8/5/2024,,,
126,246,1159,8/5/2024,,,
127,247,1159,8/5/2024,,,
128,248,1159,8/5/2024,,,
125,249,1422,8/5/2024,,,
124,250,1313,8/5/2024,,,
160,251,2286,8/5/2024,,,
