MoldID,MoldName,MoldCode,CustomerID,TrayID,MoldDesignID,storage_company,RackLayerID,ItemTypeID,MoldLengthModified,MoldWidthModified,MoldHeightModified,MoldWeightModified,MoldNotes,MoldUsageStatus,MoldOnCheckList,JobID,MoldReturning,MoldReturnedDate,MoldDisposing,MoldDisposedDate,MoldEntry,MoldRevisionID,DeviceStatus,KeeperCompany,UpdatedAt,UpdatedBy
10,TIH-014,TIH014,,2528,3018,2,12,2,,,,,,,TRUE,,,,,,,3072,,2,,
12,TKO-009T,TKO009T,,2579,3078,2,11,2,,,,,,,TRUE,,,,,,,3119,,2,,
13,TYJ-001,TYJ001,,2664,3172,2,11,2,,,,,,,TRUE,,,,,,,3213,,2,,
14,THP-004,THP004,,2512,2998,2,12,2,,,,,,,TRUE,,,,,,,3052,,2,,
15,THP-005,THP005,,2514,3000,2,12,2,,,,,,,TRUE,,,,,,,3054,,2,,
16,YSD-C-50-1,YSDC501,,2806,3351,2,11,2,,,,,,,TRUE,,,,,,,3391,,2,,
17,TOK-001,TOK001,,2624,3129,2,11,2,,,,,,,TRUE,,,,,,,3170,,2,,
18,TOK-004,TOK004,,2627,3132,2,11,2,,,,,,,TRUE,,,,,,,3173,,2,,
19,TWD-001,TWD001,,2662,3169,,704,2,,,,,金型廃棄2024.4.11,,TRUE,,,,廃棄済,,,3210,廃棄済,,,
20,TWD-002,TWD002,,2663,3170,2,11,2,,,,,,,TRUE,,,,,,,3211,,2,,
21,TOK-014,TOK014,,2637,3144,2,11,2,,,,,,,TRUE,,,,,,,3185,,2,,
22,TOK-015,TOK015,,2638,3145,2,11,2,,,,,,,TRUE,,,,,,,3186,,2,,
23,TOK-010,TOK010,,2633,3139,2,11,2,,,,,,,TRUE,,,,,,,3180,,2,,
24,TOK-002,TOK002,,2625,3130,2,11,2,,,,,,,TRUE,,,,,,,3171,,2,,
25,TOK-013,TOK013,,2636,3143,2,11,2,,,,,,,TRUE,,,,,,,3184,,2,,
26,TOK-011,TOK011,,2634,3141,2,11,2,,,,,,,TRUE,,,,,,,3182,,2,,
27,TOK-017,TOK017,,2640,3147,2,11,2,,,,,,,TRUE,,,,,,,3188,,2,,
28,TOK-016,TOK016,,2639,3146,2,11,2,,,,,,,TRUE,,,,,,,3187,,2,,
29,TOK-012,TOK012,,2635,3142,2,11,2,,,,,,,TRUE,,,,,,,3183,,2,,
30,TOK-007,TOK007,,2630,3135,2,11,2,,,,,,,TRUE,,,,,,,3176,,2,,
31,TOK-006,TOK006,,2629,3134,2,11,2,,,,,,,TRUE,545,,,,,,3175,,2,,
32,TOW-003,TOW003,,2644,3151,2,11,2,,,,,,,TRUE,,,,,,,3192,,2,,
33,TOW-002,TOW002,,2643,3150,2,11,2,,,,,,,TRUE,,,,,,,3191,,2,,
34,TSS-004,TSS004,,2659,3166,2,12,2,,,,,,,TRUE,,,,,,,3207,,2,,
35,TKS-019,TKS019,,2594,3095,2,12,2,,,,,,,TRUE,,,,,,,3136,,2,,
36,TSP-001,TSP001,,2652,3159,2,12,2,,,,,,,TRUE,,,,,,,3200,,2,,
37,TNX-024,TNX024,,2623,3128,2,85,2,,,,,2/2,,TRUE,,,,,,,3169,,2,,
38,TYU-001,TYU001,,2668,3176,2,11,2,,,,,,,TRUE,,,,,,,3217,,2,,
39,TKN-002,TKN002,,2577,3075,2,12,2,,,,,,,TRUE,,,,,,,3116,,2,,
40,TSP-004,TSP004,,2654,3161,2,12,2,,,,,,,TRUE,,,,,,,3202,,2,,
41,TE-022,TE022,,2072,2440,2,12,2,,,,,,,TRUE,,,,,,,2501,,2,,
42,TKS-002,TKS002,,2580,3080,2,12,2,,,,,,,TRUE,,,,,,,3121,,2,,
43,THP-002,THP002,,2509,2995,2,282,2,,,,,,,TRUE,,,,,,,3049,,2,,
44,TMD,TMD,,2603,3107,2,12,2,,,,,,,TRUE,,,,,,,3148,,2,,
45,TKO-001,TKO001,,2578,3077,2,15,2,,,,,ｘｘ,,TRUE,,,,,,,3118,,2,,
46,TCS-001,TCS001,,1995,2353,2,12,2,,,,,,,TRUE,,,,,,,2416,,2,,
47,TSP-003,TSP003,,2653,3160,2,12,2,,,,,,,TRUE,,,,,,,3201,,2,,
48,TIH-015,TIH015,,2529,3019,2,12,2,,,,,,,TRUE,,,,,,,3073,,2,,
49,TSS-002R,TSS002R,,2657,3164,2,11,2,,,,,,,TRUE,,,,,,,3205,,2,,
50,TH-060,TH060,,2499,2985,2,12,2,,,,,,,TRUE,,,,,,,3039,,2,,
51,TUK-001,TUK001,,2660,3167,2,12,2,,,,,,,TRUE,,,,,,,3208,,2,,
52,TIH-005,TIH005,,2521,3008,2,12,2,,,,,,,TRUE,,,,,,,3062,,2,,
53,YCM-034,YCM034,,2713,3229,2,13,2,,,,,,,TRUE,,,,,,,3270,,2,,
54,YCM-029,YCM029,,2709,3225,2,281,2,,,,,,,TRUE,,,,,,,3266,,2,,
55,TDS-006 R2,TDS006R2,,2001,2360,,704,2,,,,12.1 Kg,12.1kg 廃棄済240726,,TRUE,528,,,廃棄済,7/26/2024,,2423,廃棄済,,,
56,TDS-007 R2,TDS007R2,,2002,2362,,704,2,,,,,11.45ｋｇ 廃棄済240726,,TRUE,529,,,廃棄済,,,2425,廃棄済,,,
57,TIH-022,TIH022,,2539,3029,2,13,2,,,,,,,TRUE,,,,,,,3083,,2,,
58,TIH-018,TIH018,,2533,3023,2,13,2,,,,,,,TRUE,,,,,,,3077,,2,,
59,THP-006,THP006,,2515,3001,2,13,2,,,,,,,TRUE,,,,,,,3055,,2,,
60,THP-003,THP003,,2510,2996,2,13,2,,,,,,,TRUE,,,,,,,3050,,2,,
61,YPC-003,YPC003,,2781,3322,2,15,2,,,,,,,TRUE,,,,,,,3362,,2,,
62,YSD-001,YSD001,,2785,3327,2,13,2,,,,,1/3,,TRUE,,,,,,,3367,,2,,
63,YMS-002,YMS002,,2766,3300,2,13,2,,,,,,,TRUE,,,,,,,3340,,2,,
64,WKE-001,WKE001,,2685,3193,2,15,2,,,,,,,TRUE,,,,,,,3234,,2,,
65,YCM-055,YCM055,,2729,3247,2,14,2,,,,,,,TRUE,,,,,,,3288,,2,,
66,TKS-003,TKS003,,2581,3081,2,13,2,,,,,,,TRUE,,,,,,,3122,,2,,
67,TKD-009,TKD009,,2565,3059,2,13,2,,,,,,,TRUE,,,,,,,3100,,2,,
68,T-0005-60W,T000560W,,1960,2317,2,15,2,,,,,,,TRUE,,,,,,,2380,,2,,
69,TIH-016,TIH016,,2530,3020,2,13,2,,,,,,,TRUE,,,,,,,3074,,2,,
70,TKN-001,TKN001,,2576,3074,2,13,2,,,,,,,TRUE,,,,,,,3115,,2,,
71,THP-059,THP059,,2517,3003,2,13,2,,,,,,,TRUE,,,,,,,3057,,2,,
72,TDS-005,TDS005,,2000,2358,2,13,2,,,,,,,TRUE,,,,,,,2421,,2,,
73,TDS-002,TDS002,,1997,2355,2,13,2,,,,,,,TRUE,,,,,,,2418,,2,,
74,TDS-003,TDS003,,1998,2356,2,13,2,,,,,,,TRUE,,,,,,,2419,,2,,
75,TYK-002,TYK002,,2666,3174,2,11,2,,,,,,,TRUE,,,,,,,3215,,2,,
76,T-0006-60W,T000660W,,1961,2318,2,15,2,,,,,,,TRUE,,,,,,,2381,,2,,
77,YFG-001,YFG001,,2749,3276,2,13,2,,,,,,,TRUE,,,,,,,3316,,2,,
81,YCM-045,YCM045,,2723,3240,2,14,2,,,,,,,TRUE,,,,,,,3281,,2,,
82,YCM-046,YCM046,,2724,3241,2,14,2,,,,,,,TRUE,,,,,,,3282,,2,,
83,YCM-039,YCM039,,2717,3234,2,281,2,,,,,,,TRUE,,,,,,,3275,,2,,
84,YCM-069,YCM069,,2738,3258,2,14,2,,,,,YCM-033の改金型,,TRUE,,,,,,,3299,,2,,
85,YCM-035,YCM035,,2714,3230,2,14,2,,,,,,,TRUE,,,,,,,3271,,2,,
86,YCM-040,YCM040,,2718,3235,2,14,2,,,,,,,TRUE,,,,,,,3276,,2,,
87,YCM-053,YCM053,,2727,3245,2,14,2,,,,,,,TRUE,,,,,,,3286,,2,,
88,YCM-054,YCM054,,2728,3246,2,14,2,,,,,,,TRUE,,,,,,,3287,,2,,
89,YCM-066,YCM066,,2736,3256,2,14,2,,,,,,,TRUE,,,,,,,3297,,2,,
90,YCM-036,YCM036,,2715,3231,2,14,2,,,,,,,TRUE,,,,,,,3272,,2,,
91,YCM-024,YCM024,,2705,3220,2,281,2,,,,,,,TRUE,,,,,,,3261,,2,,
92,YCM-027,YCM027,,2707,3223,2,281,2,,,,,,,TRUE,,,,,,,3264,,2,,
93,YCM-050,YCM050,,2725,3243,2,14,2,,,,,,,TRUE,,,,,,,3284,,2,,
94,YCM-066,YCM066,,2736,3256,2,14,2,,,,,,,TRUE,,,,,,,3297,,2,,
95,YCM-061,YCM061,,2733,3253,2,14,2,,,,,,,TRUE,,,,,,,3294,,2,,
96,YCM-042,YCM042,,2720,3237,2,14,2,,,,,,,TRUE,,,,,,,3278,,2,,
97,YCM-059,YCM059,,2731,3251,2,14,2,,,,,,,TRUE,,,,廃棄済,8/22/2024,,3292,,2,,
98,YCM-060,YCM060,,2732,3252,2,14,2,,,,,,,TRUE,,,,,,,3293,,2,,
100,YCM-070,YCM070,,2739,3262,2,14,2,,,,,,,TRUE,,,,,,,3303,,2,,
101,YCM-073,YCM073,,2742,3268,2,14,2,,,,,,,TRUE,596,,,,,,3308,,2,,
102,YCM-056,YCM056,,2730,3248,2,14,2,470,347,45,7.95 Kg,,,TRUE,,返却済,8/21/2024,,,,3289,,2,,
103,YCM-065,YCM065,,2735,3255,2,14,2,,,,,,,TRUE,,,,,,,3296,,2,,
104,YCM-068,YCM068,,2737,3257,2,14,2,,,,,,,TRUE,,,,,,,3298,,2,,
105,YCM-044,YCM044,,2722,3239,2,14,2,,,,,,,TRUE,,,,,,,3280,,2,,
106,YSR-001,YSR001,,2899,3468,2,282,2,,,,,,,TRUE,,,,,,,3507,,2,,
107,YSR-003,YSR003,,2901,3470,2,282,2,,,,,,,TRUE,,,,,,,3509,,2,,
108,YSR-008,YSR008,,2906,3475,2,282,2,,,,,,,TRUE,,,,,,,3514,,2,,
109,YSR-011,YSR011,,2909,3478,2,282,2,,,,,,,TRUE,,,,,,,3517,,2,,
110,YSR-007,YSR007,,2905,3474,2,282,2,,,,,,,TRUE,,,,,,,3513,,2,,
111,YSR-015,YSR015,,2913,3482,2,282,2,,,,,,,TRUE,,,,,,,3521,,2,,
112,YSR-004,YSR004,,2902,3471,2,282,2,,,,,,,TRUE,,,,,,,3510,,2,,
113,YSR-006,YSR006,,2904,3473,2,282,2,,,,,,,TRUE,,,,,,,3512,,2,,
114,YSR-002,YSR002,,2900,3469,2,282,2,,,,,,,TRUE,,,,,,,3508,,2,,
115,YSR-009,YSR009,,2907,3476,2,282,2,,,,,,,TRUE,,,,,,,3515,,2,,
116,YSR-005,YSR005,,2903,3472,2,282,2,,,,,,,TRUE,,,,,,,3511,,2,,
117,YOK-001,YOK001,,2778,3317,2,15,2,,,,,,,TRUE,,,,,,,3357,,2,,
118,YOK-004,YOK004,,2780,3320,2,15,2,,,,,,,TRUE,,,,,,,3360,,2,,
119,YKW-001,YKW001,,2756,3284,2,15,2,,,,,,,TRUE,,,,,,,3324,,2,,
120,YES-003,YES003,,2747,3274,2,15,2,,,,,,,TRUE,,,,,,,3314,,2,,
121,YMT-010,YMT010,,2776,3315,2,15,2,,,,,,,TRUE,,,,,,,3355,,2,,
122,YSR-014,YSR014,,2912,3481,2,282,2,,,,,,,TRUE,,,,,,,3520,,2,,
123,YSR-019,YSR019,,2917,3486,2,282,2,,,,,,,TRUE,,,,,,,3525,,2,,
124,YSR-016,YSR016,,2914,3483,2,282,2,,,,,,,TRUE,,,,,,,3522,,2,,
125,YSR-018,YSR018,,2916,3485,2,282,2,,,,,,,TRUE,,,,,,,3524,,2,,
126,YKS-003,YKS003,,2755,3283,2,15,2,,,,,,,TRUE,,,,,,,3323,,2,,
127,YKS-001,YKS001,,2753,3281,2,15,2,,,,,,,TRUE,,,,,,,3321,,2,,
128,YSR-017,YSR017,,2915,3484,2,282,2,,,,,,,TRUE,,,,,,,3523,,2,,
129,YSR-013,YSR013,,2911,3480,2,282,2,,,,,,,TRUE,,,,,,,3519,,2,,
130,YPC-007,YPC007,,2783,3324,2,15,2,,,,,,,TRUE,,,,,,,3364,,2,,
131,YPC-006,YPC006,,2782,3323,2,15,2,,,,,,,TRUE,,,,,,,3363,,2,,
132,YK-001,YK001,,2752,3280,2,15,2,,,,,,,TRUE,,,,,,,3320,,2,,
133,YKS-002,YKS002,,2754,3282,2,15,2,,,,,,,TRUE,,,,,,,3322,,2,,
134,KSR-010 ???? YSR,KSR010????YSR,,1154,1283,2,15,2,,,,,,,TRUE,,,,,,,1361,,2,,
135,YSR-012,YSR012,,2910,3479,2,282,2,,,,,,,TRUE,,,,,,,3518,,2,,
136,YKW-003,YKW003,,2758,3286,2,15,2,,,,,,,TRUE,,,,,,,3326,,2,,
137,SNT-002,SNT002,,1834,2154,2,282,2,,,,,,,TRUE,,,,,,,2225,,2,,
138,STD-001,STD001,,1928,2276,2,22,2,,,,,,,TRUE,,,,,,,2339,,2,,
139,RCH-004,RCH004,,1667,1921,2,21,2,,,,,,,TRUE,,,,,,,1993,,2,,
140,RCH-009,RCH009,,1672,1926,2,21,2,,,,,,,TRUE,,,,,,,1998,,2,,
141,RCH-008,RCH008,,1671,1925,2,21,2,,,,,,,TRUE,,,,,,,1997,,2,,
142,RYK-003,RYK003,,1679,1936,2,21,2,,,,,,,TRUE,,,,,,,2008,,2,,
143,RYK-004,RYK004,,1680,1937,2,21,2,,,,,,,TRUE,,,,,,,2009,,2,,
144,RCH-006,RCH006,,1669,1923,2,21,2,,,,,,,TRUE,,,,,,,1995,,2,,
145,RCH-005,RCH005,,1668,1922,2,21,2,,,,,,,TRUE,,,,,,,1994,,2,,
146,RYK-001,RYK001,,1678,1934,2,21,2,,,,,,,TRUE,,,,,,,2006,,2,,
147,RCH-007,RCH007,,1670,1924,2,21,2,,,,,,,TRUE,,,,,,,1996,,2,,
148,SHT-013,SHT013,,1717,1981,2,73,2,,,,,,,TRUE,,,,,,,2052,,2,,
149,SKC-001,SKC001,,1775,2055,2,22,2,,,,,,,TRUE,,,,,,,2126,,2,,
150,SIT-002,SIT002,,1722,1987,2,22,2,,,,,,,TRUE,,,,,,,2058,,2,,
151,SKK-008,SKK008,,1780,2063,2,22,2,,,,,,,TRUE,,,,,,,2134,,2,,
152,SKK-007,SKK007,,1779,2060,2,22,2,,,,,,,TRUE,,,,,,,2131,,2,,
154,SNT-001,SNT001,,1833,2153,2,282,2,,,,,,,TRUE,,,,,,,2224,,2,,
155,SESK-001,SESK001,,1699,1962,2,25,2,,,,,,,TRUE,,,,,,,2033,,2,,
156,SHT-003,SHT003,,1708,1972,2,22,2,,,,,坂田精文堂・図面確認依頼,,TRUE,,,,,,,2043,,2,,
157,SHT-004,SHT004,,1709,1973,2,21,2,,,,,坂田精文堂・図面確認依頼,InUse,TRUE,,,,,,,2044,,2,,
158,SHT-007,SHT007,,1711,1975,2,21,2,,,,,,,TRUE,,,,,,,2046,,2,,
159,TE-2501699-1,TE014,,2059,4222,2,12,2,,,,,,,TRUE,533,,,,,,4195,,2,,
160,SSM-029,SSM029,,1900,2239,2,24,2,,,,,,,TRUE,,,,,,,2303,,2,,
161,SHT-006,SHT006,,1710,1974,2,21,2,,,,,,,TRUE,,,,,,,2045,,2,,
162,STF-008,STF008,,1939,2291,2,22,2,,,,,,,TRUE,,,,,,,2354,,2,,
163,SKK-002,SKK002,,1776,2056,2,22,2,,,,,,,TRUE,,,,,,,2127,,2,,
164,SPJ-025,SPJ025,,1844,2167,2,22,2,,,,,,,TRUE,,,,,,,2238,,2,,
165,STD-003,STD003,,1930,2278,2,22,2,,,,,,,TRUE,,,,,,,2341,,2,,
166,SIT-001,SIT001,,1721,1986,2,22,2,,,,,,,TRUE,,,,,,,2057,,2,,
167,SIT-010,SIT010,,1723,1988,2,22,2,,,,,,,TRUE,,,,,,,2059,,2,,
168,SRI-002,SRI002,,1857,2183,2,22,2,,,,,,,TRUE,,,,,,,2254,,2,,
169,SKS-009,SKS009,,1785,2068,2,282,2,,,,,,,TRUE,,,,,,,2139,,2,,
170,SRI-003,SRI003,,1858,2184,2,22,2,,,,,,,TRUE,,,,,,,2255,,2,,
171,SRI-001,SRI001,,1856,2182,,0,2,,,,,[旧RackLayer 705] 出荷・返却済,,TRUE,,,,,,,2253,返却済,,,
172,SRI-004,SRI004,,1859,2185,2,22,2,,,,,,,TRUE,497,,,,,,2256,,2,,
173,SKS-011,SKS011,,1786,2069,2,282,2,,,,,,,TRUE,,,,,,,2140,,2,,
174,SRI-005,SRI005,,1860,2186,2,22,2,,,,,,,TRUE,498,,,,,,2257,,2,,
175,SHP-510x342x50,SHP510x342x50,,1706,1970,2,22,2,,,,,,,TRUE,,,,,,,2041,,2,,
176,SHT-008,SHT008,,1712,1976,2,21,2,,,,,,,TRUE,,,,,,,2047,,2,,
177,SHT-009,SHT009,,1713,1977,2,720,2,,,,,SHT-020新,,TRUE,,,,,,,2048,,2,,
178,SSM-043,SSM043,,1914,2253,2,23,2,,,,,,,TRUE,,,,,,,2317,,2,,
179,SSM-020,SSM020,,1891,2230,2,24,2,,,,,,,TRUE,,,,,,,2294,,2,,
180,SSM-028,SSM028,,1899,2238,2,24,2,,,,,,,TRUE,,,,,,,2302,,2,,
181,SSM-050 R1,SSM050R1,,1921,2260,2,23,2,,,,,,,TRUE,,,,,,,2324,,2,,
182,SSM-055,SSM055,,1927,2275,2,23,2,,,,,,,TRUE,,,,,,,2338,,2,,
183,SSM-052,SSM052,,1923,2266,2,23,2,,,,,,,TRUE,,,,,,,2329,,2,,
184,SSM-035,SSM035,,1906,2245,2,24,2,,,,,,,TRUE,,,,,,,2309,,2,,
185,SSM-022,SSM022,,1893,2232,2,24,2,,,,,,,TRUE,,,,,,,2296,,2,,
186,SSM-017,SSM017,,1888,2227,2,24,2,,,,,,,TRUE,,,,,,,2291,,2,,
187,SSM-015,SSM015,,1886,2225,2,24,2,,,,,,,TRUE,,,,,,,2289,,2,,
188,SSM-018,SSM018,,1889,2228,2,24,2,,,,,,,TRUE,,,,,,,2292,,2,,
189,SSM-042,SSM042,,1913,2252,2,23,2,,,,,,,TRUE,,,,,,,2316,,2,,
190,SSM-031,SSM031,,1902,2241,2,24,2,,,,,,,TRUE,,,,,,,2305,,2,,
191,SSM-037,SSM037,,1908,2247,2,283,2,,,,,,,TRUE,,,,,,,2311,,2,,
192,SSM-044,SSM044,,1915,2254,2,23,2,,,,,,,TRUE,,,,,,,2318,,2,,
193,SSM-036,SSM036,,1907,2246,2,283,2,,,,,,,TRUE,,,,,,,2310,,2,,
194,SSM-051,SSM051,,1922,2262,2,23,2,,,,,,,TRUE,,,,,,,2326,,2,,
195,SSM-040,SSM040,,1911,2250,2,24,2,,,,,,,TRUE,,,,,,,2314,,2,,
196,SSM-027,SSM027,,1898,2237,2,24,2,,,,,,,TRUE,,,,,,,2301,,2,,
197,SSM-030,SSM030,,1901,2240,2,24,2,,,,,,,TRUE,,,,,,,2304,,2,,
198,SSM-041,SSM041,,1912,2251,2,24,2,,,,,,,TRUE,,,,,,,2315,,2,,
199,SSM-021,SSM021,,1892,2231,2,704,2,,,,,,,TRUE,,,,廃棄済,6/12/2025,,2295,廃棄済,2,,
200,SSM-053,SSM053,,1924,2269,2,23,2,,,,,,,TRUE,,,,,,,2332,,2,,
201,SSM-021NEW,SSM021,,1892,2231,2,0,2,,,,11.85,[旧RackLayer 705] 出荷・返却済,,TRUE,,返却済,6/12/2025,,,,2295,返却済,2,,
202,SSM-023,SSM023,,1894,2233,2,24,2,,,,,,,TRUE,,,,,,,2297,,2,,
203,SSM-014,SSM014,,1885,2224,2,25,2,,,,,,,TRUE,,,,,,,2288,,2,,
204,SSM-047,SSM047,,1918,2257,2,23,2,,,,,,,TRUE,,,,,,,2321,,2,,
