PlasticForFormingID,PlasticMaterialID,PlasticColorID,PlasticThicknessID,PlasticWidthID,PlasticStaticChargeID,Silicone,PlasticCompanyID,IDJobNo,PlasticForFormingCombine,PlasticForFormingNotes,MoldID,JobID,MoldDesignID,PlasticWidth2,PlasticThickness2,UpdatedAt,UpdatedBy
6,2,1,9,13,1,シリコン無,,THP-007,,,2933,534,3002,520,0.6,,
8,1,2,9,13,1,シリコン無,,JAE-321,,,3062,288,856,520,0.6,,
11,1,6,13,13,1,シリコン付,,9-162-7,,,4373,100,2955,520,0.8,,
16,3,2,9,13,1,シリコン無,,JAE-319,,,3064,286,854,520,0.6,,
17,3,2,9,13,1,シリコン無,,JAE-320,,,3061,287,855,520,0.6,,
18,1,4,18,24,6,,,2486848-1,,,2860,54,2662,640,1,,
19,1,4,18,24,3,,,2486848-2,,,2861,55,2663,640,1,,
20,2,1,9,5,1,シリコン無,,ASC-002D,,,4462,131,180,405,0.6,,
21,1,1,9,24,21,シリコン付,,JAE-322R1,,,3060,,857,640,0.6,,
22,3,2,18,13,1,シリコン無,,DIC-143　R2,,,2974,181,388,520,1,,
23,1,6,15,13,1,シリコン付,,6-912159-7D,,10枚(無償)＋事務所2枚,4600,,2845,520,0.9,,
24,1,2,18,8,1,シリコン付,,6-912159-7D,,2枚(無償)＋事務所2枚,4600,,2845,440,1,,
25,1,6,18,24,22,,,JAE-323 R2,,,3058,290,859,640,1,,
26,2,1,9,13,1,シリコン無,,ASC-002,,15枚(無償)＋事務所2枚,3057,130,179,520,0.6,,
27,1,1,13,5,1,シリコン無,,TDW-001D　R2,,10枚(無償)＋事務所2,4639,530,3604,405,0.8,,
28,1,2,13,5,1,シリコン無,,TDW-001D　R2,,2枚(無償)＋事務所2枚,4639,530,3604,405,0.8,,
29,1,3,18,16,4,,,WTN-009D R1,,12枚(無償)＋事務所2枚,4492,582,3212,550,1,,
30,3,2,18,5,1,シリコン付,,WTN-009D R1,,4枚(無償)＋事務所2枚,4492,582,3212,405,1,,
31,1,6,13,13,1,シリコン付,,6-159-6,,"15枚(無償)＋YSD 小林2枚
　　　　　　＊初回サンプルOK後、310枚を村田工業様へ納入予定。(受注済み)",4600,,2845,520,0.8,,
32,1,1,13,5,1,シリコン無,,SRI-006 VN,,,1125,499,2187,405,0.8,,
33,1,3,18,16,4,,,WTN-009 R1,,,3078,581,3211,550,1,,
34,1,6,15,13,1,シリコン無,,6-159-7 R2,,,3070,68,2844,520,0.9,,
35,2,1,7,13,1,シリコン無,,OOT-043,,,3071,406,1833,520,0.5,,
36,1,1,9,13,1,シリコン無,,MTS-001,,,4224,360,1468,520,0.6,,
37,1,1,13,13,1,シリコン無,,9-162-7 R2,,耐摩耗,3072,101,3610,520,0.8,,
38,2,1,9,24,1,シリコン無,,JAE-324,,,4223,291,860,640,0.6,,
39,1,1,13,13,1,シリコン無,,TDW-001R3,,,4218,532,2366,520,0.8,,
40,1,1,9,5,1,シリコン無,,SIT-017,,,4227,467,1995,405,0.6,,
41,1,1,9,5,1,シリコン無,,SIT-018,,,4237,469,1997,405,0.6,,
42,1,1,9,5,1,シリコン無,,SIT-019,,,4238,471,1999,405,0.6,,
44,2,1,18,13,1,シリコン無,,YGE-002,,,4230,600,3278,520,1,,
45,1,4,13,13,3,,,DIC-151,,,4428,189,398,520,0.8,,
46,3,2,13,13,1,シリコン無,,SHT-017,,,4625,655,3561,520,0.8,,
48,3,2,7,13,1,シリコン無,,SHT-018,,,4626,,3562,520,0.5,,
49,2,1,18,13,1,シリコン無,,MMT-017,,,4634,664,3593,520,1,,
50,1,4,22,13,3,,,JAE-333R1,,,4638,,3595,520,1.2,,
51,1,4,13,5,3,,,NGS-018,,,4637,,3603,405,0.8,,
52,3,2,9,13,1,シリコン無,,JAE-326R1,,10枚＋事務所2枚,4647,,3606,520,0.6,,
53,3,2,7,13,1,シリコン無,,JAE-327,,10枚＋事務所2枚,4651,678,3609,520,0.5,,
56,3,2,18,13,1,シリコン無,,JAE-325D,,＊剥がれない場合はシリコンOkです。,4655,680,3611,520,1,,
57,3,2,9,13,1,シリコン無,,ATS-023,,,4657,681,3612,520,0.6,,
58,3,2,9,13,1,シリコン無,,JAE-326 R1,,,4647,676,3606,520,0.6,,
59,3,2,13,13,1,シリコン無,,JAE-330 R1,,,4658,683,3613,520,0.8,,
60,3,2,7,13,1,シリコン無,,JAE-328,,,4661,685,3616,520,0.5,,
61,3,2,9,13,1,シリコン無,,JAE-329 R1,,,4662,686,3617,520,0.6,,
62,3,2,18,13,1,シリコン無,,JAE-325 R1,,,4667,0,3621,520,1,,
63,3,2,18,13,1,シリコン無,,JAE-332 R1,,,4668,0,3622,520,1,,
64,1,1,9,5,1,シリコン無,,SIT-020,,,4672,0,3643,405,0.6,,
67,1,1,9,5,1,シリコン無,,,,,,0,3645,0,,,
68,1,1,9,5,1,シリコン無,,,,,,0,3646,0,,,
69,3,2,18,24,1,シリコン無,,,,,,0,3642,0,,,
70,3,2,18,24,1,シリコン無,,,,,,0,3640,0,,,
71,1,4,18,24,3,,,,,,,0,3649,0,,,
72,3,2,11,2,21,シリコン付,,,,,,0,3650,0,,,
73,1,4,18,24,3,,,,,,,0,3651,0,,,
74,1,1,13,5,1,シリコン無,,,,,,0,3691,0,,,
75,3,2,4,13,21,シリコン付,,,,,,0,3716,0,,,
76,1,4,7,16,4,,,,,,,0,3684,0,,,
77,1,1,9,5,1,シリコン無,,,,,,0,3750,0,,,
78,3,2,13,13,1,シリコン無,,,,,,0,3751,0,,,
79,3,2,18,13,1,シリコン無,,,,,,0,3886,0,,,
80,1,2,18,8,1,シリコン付,,,,,,0,3939,0,,,
81,1,2,18,8,1,シリコン付,,,,,,0,3940,0,,,
82,1,6,22,13,1,シリコン付,,,,,,0,4080,0,,,
83,1,2,18,8,1,シリコン付,,,,,,0,4079,0,,,
84,1,2,18,8,1,シリコン付,,,,,,0,4075,0,,,
85,1,2,18,8,1,シリコン付,,,,,,0,3930,0,,,
86,1,6,22,13,1,シリコン付,,,,,,0,4081,0,,,
87,1,1,9,13,1,シリコン無,,,,,,0,4082,0,,,
88,1,6,13,13,1,シリコン付,,,,,,0,4083,0,,,
89,1,6,15,13,1,シリコン付,,,,,,0,4088,0,,,
90,1,6,15,13,1,シリコン付,,,,,,0,4089,0,,,
91,1,4,13,13,3,,,,,,,0,4100,0,,,
