ProcessingDeadlineID,JobID,IDJobNo,ItemTypeID,ProcessingStatusID,MachiningCustomerID,ProcessingDeadline,EstimatedHours,Set,Tehai,DrawingReceiptDate,ProcessingNotes,IDCapDC,UpdatedAt,UpdatedBy
1613,228,JAE-261,1,8,2,8/17/2022,,No,,8/23/2022,,0. ALUMI,,
1614,228,JAE-261,3,8,2,8/25/2022,,No,,8/23/2022,,2. PLUG,,
1615,228,JAE-261,4,,2,8/24/2022,,No,,8/23/2022,,3. CUTTER,,
1616,228,JAE-261,2,8,2,8/25/2022,,No,,8/23/2022,,1. MOLD,,
1617,228,JAE-261,10,8,2,8/29/2022,,No,,8/23/2022,,OTHER,,
1618,39,243252-2,2,8,2,8/8/2022,,No,,8/23/2022,,1. MOLD,,
1619,312,KSP-194,2,8,2,8/4/2022,,No,,8/23/2022,,1. MOLD,,
1620,313,KSP-195,2,8,2,8/4/2022,,No,,8/23/2022,,1. MOLD,,
1621,314,KSP-196,2,8,2,8/3/2022,,No,,8/23/2022,,1. MOLD,,
1622,315,KSP-197,2,8,2,8/3/2022,,No,,8/23/2022,,1. MOLD,,
1623,336,MTM-169,2,8,2,8/5/2022,,No,,8/23/2022,,1. MOLD,,
1624,337,MTM-170,2,8,2,8/5/2022,,No,,8/23/2022,,1. MOLD,,
1625,488,SMK-213,2,8,2,8/10/2022,,No,,8/23/2022,,1. MOLD,,
1626,27,2425816-1,2,8,2,8/16/2022,,No,,8/23/2022,,1. MOLD,,
1627,28,2425819-1,2,8,2,8/16/2022,,No,,8/23/2022,,1. MOLD,,
1629,559,TSP-005,2,8,2,8/20/2022,,No,,8/23/2022,,1. MOLD,,
1631,521,STF-009,2,8,2,9/2/2022,,No,,8/23/2022,,1. MOLD,,
1632,168,DHA-001,2,8,2,8/26/2022,,No,,8/23/2022,,1. MOLD,,
1633,223,JAE-173,2,8,2,8/26/2022,,No,,8/23/2022,,1. MOLD,,
1634,558,TSB-003,2,8,2,8/8/2022,,No,,8/23/2022,,1. MOLD,,
1635,37,243252-1,2,8,2,8/8/2022,,No,,8/23/2022,,1. MOLD,,
1636,307,KOS-014 TEST,2,8,2,,,No,,8/23/2022,,1. MOLD,,
1637,207,HKS-012 TEST,2,8,2,8/23/2022,,No,,8/23/2022,,1. MOLD,,
