RackLayerID,RackID,RackLayerNumber,RackLayerNotes,RackCompanyNote,UpdatedAt,UpdatedBy
0,0,0,未確認,未確認,,
10,1,1,地面①-②,本社工場,,
11,1,1,,本社工場,,
12,1,2,,本社工場,,
13,1,3,,本社工場,,
14,1,4,,本社工場,,
15,1,5,,本社工場,,
20,2,2,地面②-③,本社工場,,
21,2,1,,本社工場,,
22,2,2,,本社工場,,
23,2,3,,本社工場,,
24,2,4,,本社工場,,
25,2,5,,本社工場,,
31,3,1,,本社工場,,
32,3,2,,本社工場,,
33,3,3,,本社工場,,
34,3,4,,本社工場,,
35,3,5,,本社工場,,
41,4,1,,本社工場,,
42,4,2,,本社工場,,
43,4,3,,本社工場,,
44,4,4,,本社工場,,
45,4,5,,本社工場,,
51,5,1,,本社工場,,
52,5,2,,本社工場,,
53,5,3,,本社工場,,
54,5,4,,本社工場,,
55,5,5,,本社工場,,
61,6,1,,本社工場,,
62,6,2,,本社工場,,
63,6,3,,本社工場,,
64,6,4,,本社工場,,
65,6,5,,本社工場,,
71,7,1,,本社工場,,
72,7,2,,本社工場,,
73,7,3,,本社工場,,
74,7,4,,本社工場,,
75,7,5,,本社工場,,
81,8,1,,本社工場,,
82,8,2,,本社工場,,
83,8,3,,本社工場,,
84,8,4,,本社工場,,
85,8,5,,本社工場,,
86,8,8,テーブル,本社工場,,
91,9,1,,本社工場,,
92,9,2,,本社工場,,
93,9,3,,本社工場,,
94,9,4,,本社工場,,
95,9,5,,本社工場,,
101,10,1,,本社工場,,
102,10,2,,本社工場,,
103,10,3,,本社工場,,
104,10,4,,本社工場,,
105,10,5,,本社工場,,
111,11,1,,本社工場,,
112,11,2,,本社工場,,
113,11,3,,本社工場,,
114,11,4,,本社工場,,
115,11,5,,本社工場,,
121,12,1,,本社工場,,
122,12,2,,本社工場,,
123,12,3,,本社工場,,
124,12,4,,本社工場,,
125,12,5,,本社工場,,
132,13,2,,本社工場,,
140,14,0,,本社工場,,
141,14,1,,本社工場,,
142,14,2,,本社工場,,
143,14,3,,本社工場,,
144,14,4,,本社工場,,
145,14,5,,本社工場,,
150,15,0,,本社工場,,
151,15,1,,本社工場,,
152,15,2,,本社工場,,
153,15,3,,本社工場,,
154,15,4,,本社工場,,
155,15,5,,本社工場,,
161,16,1,,本社工場,,
162,16,2,,本社工場,,
163,16,3,,本社工場,,
164,16,4,,本社工場,,
165,16,5,,本社工場,,
166,16,6,,本社工場,,
171,17,1,,本社工場,,
172,17,2,,本社工場,,
173,17,3,,本社工場,,
174,17,4,,本社工場,,
175,17,5,,本社工場,,
176,17,6,,本社工場,,
181,18,1,,本社工場,,
182,18,2,,本社工場,,
183,18,3,,本社工場,,
184,18,4,,本社工場,,
185,18,5,,本社工場,,
186,18,6,,本社工場,,
191,19,1,,本社工場,,
192,19,2,,本社工場,,
193,19,3,,本社工場,,
194,19,4,,本社工場,,
195,19,5,,本社工場,,
201,20,1,,本社工場,,
202,20,2,,本社工場,,
203,20,3,,本社工場,,
204,20,4,,本社工場,,
205,20,5,,本社工場,,
206,20,6,,本社工場,,
211,21,1,,本社工場,,
212,21,2,,本社工場,,
213,21,3,,本社工場,,
214,21,4,,本社工場,,
215,21,5,,本社工場,,
222,22,2,,本社工場,,
223,22,3,,本社工場,,
224,22,4,,本社工場,,
232,23,2,,本社工場,,
233,23,3,,本社工場,,
234,23,4,,本社工場,,
240,24,0,地面,本社工場,,
241,24,1,,本社工場,,
242,24,2,,本社工場,,
243,24,3,,本社工場,,
244,24,4,,本社工場,,
245,24,5,,本社工場,,
251,25,1,,本社工場,,
252,25,2,,本社工場,,
253,25,3,,本社工場,,
254,25,4,,本社工場,,
255,25,5,,本社工場,,
260,26,"0

0",,地面,,
261,26,1,,本社工場,,
262,26,2,,本社工場,,
263,26,3,,本社工場,,
264,26,4,,本社工場,,
265,26,5,,本社工場,,
271,27,1,,本社工場,,
272,27,2,,本社工場,,
273,27,3,,本社工場,,
274,27,4,,本社工場,,
275,27,5,,本社工場,,
280,28,0,台湾機用（2階から移動）,本社工場,,
281,28,1,,本社工場,,
282,28,2,,本社工場,,
283,28,3,,本社工場,,
284,28,4,,本社工場,,
285,28,5,,本社工場,,
291,29,1,,本社工場,,
292,29,2,,本社工場,,
293,29,3,,本社工場,,
294,29,4,,本社工場,,
302,30,2,,本社工場,,
310,31,0,,本社工場,,
311,31,1,梱包,本社工場,,
312,31,2,梱包,本社工場,,
313,31,3,梱包,本社工場,,
321,32,1,,本社工場,,
322,32,2,,本社工場,,
323,32,3,,本社工場,,
331,33,1,,本社工場,,
332,33,2,,本社工場,,
333,33,3,,本社工場,,
351,35,1,,本社工場,,
352,35,2,,本社工場,,
353,35,3,,本社工場,,
354,35,4,,本社工場,,
361,36,1,,本社工場,,
362,36,2,,本社工場,,
363,36,3,,本社工場,,
370,37,0,梱包済金型一覧,,,
400,40,0,プレステーブルの下,本社工場,,
401,40,1,,本社工場,,
402,40,2,,本社工場,,
403,40,3,,本社工場,,
404,40,4,,本社工場,,
410,41,0,テーブル下,,,
411,41,1,,本社工場,,
412,41,2,,本社工場,,
413,41,3,,本社工場,,
414,41,4,,本社工場,,
421,42,1,,本社工場,,
422,42,2,,本社工場,,
423,42,3,,本社工場,,
424,42,4,,本社工場,,
430,43,0,Tang 1 gia ben canh cua gia 43,本社工場,,
431,43,1,,本社工場,,
432,43,2,,本社工場,,
433,43,3,,本社工場,,
434,43,4,,本社工場,,
440,44,0,地面,本社工場,,
441,44,1,,本社工場,,
442,44,2,,本社工場,,
443,44,3,,本社工場,,
444,44,4,,本社工場,,
451,45,1,,本社工場,,
452,45,2,,本社工場,,
453,45,3,,本社工場,,
454,45,4,,本社工場,,
461,46,1,,本社工場,,
462,46,2,,本社工場,,
463,46,3,,本社工場,,
464,46,4,,本社工場,,
