StatusLogID,MoldID,CutterID,ItemType,Status,Timestamp,EmployeeID,DestinationID,Notes,AuditDate,AuditType,SessionID,SessionName,SessionMode,AuditSessionID,UpdatedAt,UpdatedBy
7,3192,,,,,1,13,台車,,,,,,,,
8,5604,,,,,4,9,Viet,,,,,,,,
11,3331,,,,,1,13,,,,,,,,,
12,5640,,,,,3,11,HAI,,,,,,,,
13,5415,,,,,1,10,,,,,,,,,
14,5644,,,,,3,6,,,,,,,,,
15,5550,,,,,1,10,ラベル付き写真撮影,,,,,,,,
16,5415,,,,,1,10,坂田精文堂から,,,,,,,,
17,5415,,,,,1,25,71,,,,,,,,
18,5604,,,,,1,25,51,,,,,,,,
19,5650,,,,,4,7,11/11,,,,,,,,
20,5650,,,,,4,11,11/12,,,,,,,,
21,5646,,,,,1,10,11/12,,,,,,,,
22,3331,,,,,3,4,,,,,,,,,
23,3020,,,,11/20/2025,1,13,坂田さん,,,,,,,,
24,5632,,,,11/21/2025,1,19,,,,,,,,,
25,5633,,,,11/21/2025,1,19,,,,,,,,,
26,5663,,,,11/26/2025,1,9,新規成形,,,,,,,,
27,5632,,,,11/26/2025,1,17,テフロン加工済,,,,,,,,
28,5633,,,,11/26/2025,1,17,テフロン加工済,,,,,,,,
29,5636,,,,11/26/2025,2,8,,,,,,,,,
30,5639,,,,11/26/2025,2,8,,,,,,,,,
31,1844,,,,11/27/2025,1,10,Khach xem khuon,,,,,,,,
32,1740,,,,12/1/2025,1,15,,,,,,,,,
33,1736,,,,12/1/2025,1,15,,,,,,,,,
34,1741,,,,12/1/2025,1,15,,,,,,,,,
35,1752,,,,12/1/2025,1,15,,,,,,,,,
36,1734,,,,12/1/2025,1,15,,,,,,,,,
37,1743,,,,12/1/2025,1,15,,,,,,,,,
38,1742,,,,12/1/2025,1,15,,,,,,,,,
39,1745,,,,12/1/2025,1,15,,,,,,,,,
40,1739,,,,12/1/2025,1,15,,,,,,,,,
41,1737,,,,12/1/2025,1,15,,,,,,,,,
42,4785,,,,12/1/2025,1,15,,,,,,,,,
43,4784,,,,12/1/2025,1,15,,,,,,,,,
44,1744,,,,12/1/2025,1,15,,,,,,,,,
45,3936,,,,12/1/2025,1,15,,,,,,,,,
46,3937,,,,12/1/2025,1,15,,,,,,,,,
47,1735,,,,12/1/2025,1,15,,,,,,,,,
48,1738,,,,12/1/2025,1,15,,,,,,,,,
49,824,,,,12/1/2025,1,15,,,,,,,,,
50,5663,,,,12/4/2025,1,10,,,,,,,,,
52,5644,,,,12/4/2025,3,6,改造後の成形,,,,,,,,
53,5566,,,,12/5/2025,1,9,,,,,,,,,
54,3246,,,,12/9/2025,1,25,棚卸,,,,,,,,
55,462,,,,12/9/2025,1,25,棚卸,,,,,,,,
56,264,,,IN,12/10/2025,1,,棚卸,,,,,,,,
57,256,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
58,255,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
59,2874,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
60,262,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
61,5339,,,OUT,12/10/2025,1,10,,12/10/2025,Check-out,,,,,,
64,474,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
65,452,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
66,457,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
67,507,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
69,4432,,,IN,12/10/2025,1,,確認済,12/10/2025,Audit,,,,,,
70,5673,,,OUT,12/10/2025,1,11,,,,,,,,,
71,5671,,,OUT,12/10/2025,1,11,,,,,,,,,
73,5667,,,IN,12/12/2025,1,,確認済,12/12/2025,Audit,,,,,,
74,3160,,,IN,12/15/2025,1,7,確認済,12/15/2025,Audit,,,,,,
75,5573,,,IN,12/15/2025,1,,確認済,12/15/2025,Audit,,,,,,
76,5612,,,IN,12/15/2025,1,,確認済,12/15/2025,Audit,,,,,,
77,1740,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
78,1736,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
79,1741,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
80,1752,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
81,1734,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
82,1743,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
83,1742,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
84,1745,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
85,1739,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
86,1737,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
87,4785,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
88,4784,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
89,1744,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
90,3936,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
91,3937,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
92,1735,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
93,1738,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
94,824,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
95,5686,,,IN,12/16/2025,1,,確認済,12/16/2025,Audit,,,,,,
97,1906,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
98,1916,,,DISPOSED,12/16/2025,1,,廃棄済,,,,,,,,
99,5686,,,IN,12/16/2025,1,,確認済,12/16/2025,Audit,,,,,,
100,5690,,,IN,12/17/2025,4,7,確認済,12/17/2025,Audit,,,,,,
101,5686,,,IN,12/17/2025,4,7,確認済,12/17/2025,Audit,,,,,,
102,5683,,,IN,12/17/2025,3,6,確認済,12/17/2025,Audit,,,,,,
