TeflonLogID,MoldID,TeflonStatus,RequestedBy,RequestedDate,ApprovedDate,ApprovedBy,SentBy,SentDate,ExpectedDate,ReceivedDate,SupplierID,CoatingType,Reason,TeflonCost,Quality,TeflonNotes,CreatedDate,UpdatedBy,UpdatedAt
1,261,テフロン加工済,,,,,,1/5/2024,,1/11/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
2,263,テフロン加工済,,,,,,4/3/2023,,4/6/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
3,284,テフロン加工済,,,,,,9/5/2023,,9/8/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
4,384,テフロン加工済,,,,,,4/6/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
5,387,テフロン加工済,,,,,,10/12/2023,,10/17/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
6,396,テフロン加工済,,,,,,7/21/2023,,7/26/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
7,400,テフロン加工済,,,,,,10/12/2023,,10/17/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
8,499,テフロン加工済,,,,,,10/30/2023,,11/2/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
9,321,テフロン加工済,,,,,,6/21/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
10,362,テフロン加工済,,,,,,2/6/2024,,2/9/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
11,705,テフロン加工済,,,,,,8/31/2023,,9/5/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
12,706,テフロン加工済,,,,,,8/31/2023,,9/5/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
13,1028,テフロン加工済,,,,,,12/21/2023,,12/26/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
14,1122,テフロン加工済,,,,,,9/27/2023,,10/2/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
15,1125,テフロン加工済,,,,,,5/8/2024,,5/13/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
16,1128,テフロン加工済,,,,,,11/28/2024,,12/3/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
17,1132,テフロン加工済,,,,,,11/19/2024,,11/22/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
18,1136,テフロン加工済,,,,,,3/17/2023,,3/23/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
19,1137,テフロン加工済,,,,,,3/17/2023,,3/23/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
20,1138,テフロン加工済,,,,,,1/15/2024,,1/18/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
21,1139,テフロン加工済,,,,,,1/15/2024,,1/18/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
22,1141,テフロン加工済,,,,,,2/19/2024,,2/22/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
23,1144,テフロン加工済,,,,,,5/12/2023,,5/17/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
24,1145,テフロン加工済,,,,,,5/12/2023,,5/17/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
25,1165,テフロン加工済,,,,,,2/22/2024,,2/28/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
26,1985,テフロン加工済,,,,,,9/30/2024,,10/3/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
27,2218,テフロン加工済,,,,,,11/9/2023,,11/14/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
28,2223,テフロン加工済,,,,,,10/5/2023,,10/12/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
29,2236,テフロン加工済,,,,,,9/26/2025,,10/1/2025,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
30,2593,テフロン加工済,,,,,,1/7/2025,,1/10/2025,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
31,2685,テフロン加工済,,,,,,4/24/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
32,2762,テフロン加工済,,,,,,5/29/2023,,6/4/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
33,2820,テフロン加工済,,,,,,10/30/2024,,11/5/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
34,2866,テフロン加工済,,,,,,1/15/2024,,1/18/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
35,2869,テフロン加工済,,,,,,11/13/2023,,11/16/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
36,2871,テフロン加工済,,,,,,4/8/2024,,4/11/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
37,2873,テフロン加工済,,,,,,4/8/2024,,4/11/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
38,2947,テフロン加工済,,,,,,7/12/2025,,7/16/2025,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
39,3005,テフロン加工済,,,,,,4/26/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
40,3006,テフロン加工済,,,,,,4/26/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
41,3011,テフロン加工済,,,,,,12/11/2023,,12/14/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
42,3028,テフロン加工済,,,,,,4/4/2024,,4/9/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
43,3062,テフロン加工済,,,,,,6/26/2024,,7/1/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
44,3078,テフロン加工済,,,,,,8/23/2024,,8/28/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
45,3131,テフロン加工済,,,,,,3/27/2024,,4/1/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
46,4552,テフロン加工済,,,,,,12/19/2023,,12/22/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
47,4553,テフロン加工済,,,,,,11/30/2023,,12/5/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
48,4569,テフロン加工済,,,,,,1/26/2024,,1/31/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
49,4576,テフロン加工済,,,,,,11/15/2023,,11/20/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
50,4625,テフロン加工済,,,,,,11/28/2024,,12/3/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
51,4626,テフロン加工済,,,,,,12/16/2024,,12/20/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
52,4628,テフロン加工済,,,,,,6/6/2025,,6/11/2025,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
53,4643,テフロン加工済,,,,,,4/26/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
54,4657,テフロン加工済,,,,,,6/6/2025,,6/11/2025,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
55,4672,テフロン加工済,,,,,,11/8/2024,,11/13/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
56,4675,テフロン加工済,,,,,,11/8/2024,,11/13/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
57,4325,テフロン加工済,,,,,,7/19/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
58,4362,テフロン加工済,,,,,,7/24/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
59,4369,テフロン加工済,,,,,,5/29/2023,,6/2/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
60,4388,テフロン加工済,,,,,,11/7/2023,,11/10/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
61,4420,テフロン加工済,,,,,,10/18/2023,,10/23/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
62,4430,テフロン加工済,,,,,,3/1/2024,,3/7/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
