WorkLogID,ProcessingDeadlineID,EmployeeID,ProcessingCodeID,ProcessingTime,ProcessingDate,ProcessingNotes,ProcessingNumbers,FinishDate,Finished,Noidunglienlac,CompanyID,UpdatedAt,UpdatedBy
1162,1616,1,15,2.5,8/17/2022,,0,,FALSE,,,,
1163,1616,1,11,2.75,8/20/2022,,0,,FALSE,,,,
1164,1616,1,12,3.25,8/22/2022,,0,,FALSE,,,,
1168,1632,1,13,2.75,8/22/2022,,0,,FALSE,,,,
1169,1632,1,12,1.75,8/20/2022,,0,,FALSE,,,,
1170,1632,1,11,2.5,8/19/2022,,0,,FALSE,,,,
1171,1632,1,15,2.5,8/17/2022,,0,,FALSE,,,,
1172,1633,1,10,4.25,8/23/2022,,0,,FALSE,,,,
1174,1616,1,12,4,8/23/2022,,0,,FALSE,,,,
1175,1636,1,23,0.5,8/23/2022,,0,,FALSE,,,,
1176,1637,1,23,0.5,8/23/2022,,0,,FALSE,,,,
1179,1640,1,51,1,8/23/2022,梱包、５S,0,,FALSE,,,,
1180,1633,3,700,6,8/24/2022,,0,,FALSE,,,,
1181,1633,3,700,22,8/23/2022,,0,,FALSE,,,,
1182,1640,1,51,0.25,8/24/2022,,0,,FALSE,,,,
1183,1623,1,10,1.5,8/24/2022,　３３０ｘ460　から　330ｘ415　外周削り,0,,FALSE,,,,
1184,1641,1,10,4,8/24/2022,,0,,FALSE,,,,
1185,1641,4,700,3,8/24/2022,裏面加工,0,,FALSE,,,,
1186,1631,1,13,2,8/24/2022,,0,,FALSE,,,,
1187,1640,1,40,1,8/24/2022,中川さんへ,0,,FALSE,,,,
1188,1629,1,40,2.75,8/25/2022,Lam gap cho may 8 - KOHI,0,,FALSE,,,,
1189,1642,1,10,7,8/25/2022,"251x240x15, 322x311x30",0,,FALSE,,,,
1190,1640,1,51,0.25,8/25/2022,,0,,FALSE,,,,
1191,1633,1,10,2.25,8/25/2022,"Chuong trinh cu bi xau, phai chay lai be mat",0,,FALSE,,,,
