,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,2026-07-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,青森工場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,SI,帯 電,,NP,RP東プラ,相模原倉庫,レグルス他,納入数量,納期,本社工場,青森工場,茨城工場,坂田工場,,合計,,残数,社内残,使用総数,45848.0,45849.0,45850.0,45851.0,45852.0,45853.0,45854.0,45855.0,45856.0,45857.0,45858.0,45859.0,45860.0,45861.0,45862.0,45863.0,45864.0,45865.0,45866.0,45867.0,45868.0,45869.0,45870.0,45871.0,45872.0,45873.0,45874.0,45875.0,45876.0,45877.0,45878.0,45879.0,45880.0,45881.0,45882.0,45883.0,45884.0,45885.0,45886.0,45887.0,45888.0,45889.0,45890.0,45891.0,45892.0,45893.0,45894.0,45895.0,45896.0,45897.0,45898.0,45899.0,45900.0,45901.0,45902.0,45903.0,45904.0,45905.0,45906.0,45907.0,45908.0,45909.0,45910.0,45911.0,45912.0,45913.0,45914.0,45915.0,45916.0,45917.0,45918.0,45919.0,45920.0,45921.0,45922.0,45923.0,,,,,,,,,
3,PS(N)0.38t×640×500m,青森,○,×,,,,,,,,,5575,,,,5575,,5242,5242,333,,,,,,50.0,186.0,47.0,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PS(N)0.58t×640×350m,青森,○,×,,,,7/21頃,25200,,,,24129,,,,49329,,33348,8148,15981,1264.0,,,1208.0,892.0,2527.0,1691.0,985.0,,,,985.0,2248.0,1802.0,1227.0,,,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PS(N)0.58t×640×350m,本社,,,,,８月下旬完,7/2手配,25200,,,700,,,321,,26221,,26221,1021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PS(N)0.58t×640×350m,茨城,,,,,,,,,,,,1030,,,1030,,832,832,198,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PS(N)0.68t×640×300m,青森,○,×,,,,,,,,,11024,,,,11024,,9652,9652,1372,106.0,,,106.0,212.0,106.0,106.0,106.0,,,106.0,106.0,106.0,212.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PS(N)0.68t×640×300m,本社,,,,,,4800,,,,1235,,,151,,6186,,6186,1386,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
