db_company_id,db_company_code,db_company_name,db_legacy_id,match_type,matched_ssot_code,matched_ssot_name,fk_orders,fk_products,fk_equipment,total_fks,status
ea09189f-1e25-4c4d-8c6a-0684a2b63804,AHP,(株)アサヒプレシジョン 本社,COMP-182,Exact Code,AHP,アサヒプレシジョン,0,0,0,0,KEEP (Matched)
cd6a5f26-9ce7-4daa-a4c7-7bade1452ee5,MOK,MOK,CUST-2,No Match,,,22,10,4,36,ORPHAN WITH FKS (Requires Manual Check)
61bae885-4721-45d4-84a7-f5dd9c80c006,MPN,MPN,CUST-3,No Match,,,0,0,0,0,ORPHAN (Garbage?)
88bc5738-798d-4dc0-8048-d775386be468,MRY,MRY,CUST-4,No Match,,,7,47,1,55,ORPHAN WITH FKS (Requires Manual Check)
bdce0bfc-e432-483b-86d7-5018525804c8,MS,MS,CUST-5,No Match,,,0,6,2,8,ORPHAN WITH FKS (Requires Manual Check)
5cec4d0d-4fd8-4d27-a368-8521075aa089,MSM,MSM,CUST-6,No Match,,,0,17,2,19,ORPHAN WITH FKS (Requires Manual Check)
6b75f811-1912-4a50-8c18-45b529fec0e0,AIDK,アイデックス(株),,Exact Code,AIDK,アイデックス,0,0,0,0,KEEP (Matched)
0d13c26f-cbdd-4825-b210-9e98ccc4febf,AIDS,アイデックス(株),,Exact Code,AIDS,アイデックス,0,0,0,0,KEEP (Matched)
9ce59084-bd9f-46e4-a0cd-7f85b2e050a6,MTM,ミツミ電機☆,CUST-9,No Match,,,34,551,291,876,ORPHAN WITH FKS (Requires Manual Check)
8a6cf8fe-43ec-4e3a-8add-e6e7baf35ef4,AIDY,アイデックス(株),,Exact Code,AIDY,アイデックス,0,0,0,0,KEEP (Matched)
8e5845e3-0dcc-4577-b669-f0d3188f3d13,AIH,(有)相原製作所,COMP-39,Exact Code,AIH,相原製作所,0,0,0,0,KEEP (Matched)
d3e3ed9c-68d8-4d9e-a97b-620d7ad57e33,AIN,(株)アイン,COMP-222,Exact Code,AIN,アイン,0,0,0,0,KEEP (Matched)
6ee76930-3a5a-4d1e-9a73-6ef86b76f7c5,CUST13,CUST13,CUST-13,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
db2285be-7bdd-487b-ac8a-1d3a719e3660,NFC,エヌ・エフ・シー(株),CUST-16,Exact Code,NFC,エヌ・エフ・シー,0,4,2,6,KEEP (Matched)
86586550-424e-455d-9c13-9403c41c479e,NSE,(株)ネモト・センサエンジニアリング,CUST-27,Exact Code,NSE,ネモト・センサエンジニアリング,1,7,4,12,KEEP (Matched)
100084a1-6abe-4b07-8c29-68f8b00f7a9c,NSK,(有)日三化成,CUST-28,Exact Code,NSK,日三化成,0,32,4,36,KEEP (Matched)
851447a1-8f43-4f69-9271-e9a90cc8d67b,NHK,NHK,CUST-21,No Match,,,0,24,25,49,ORPHAN WITH FKS (Requires Manual Check)
9cc2066f-2d63-4dee-b212-72deebaee867,NSM,西村(株),CUST-29,Exact Code,NSM,西村,0,4,1,5,KEEP (Matched)
c6e96642-9d92-4866-ae2a-b9fe2d353ee5,NWN,(株)ニワノ,CUST-31,Exact Code,NWN,ニワノ,5,6,1,12,KEEP (Matched)
3eab7c48-f189-4a45-a6ba-7a8364c21652,QA,(株)クエイザーシステム,CUST-48,Exact Code,QA,クエイザーシステム,0,6,1,7,KEEP (Matched)
800968a6-ea3b-4adf-9180-ee4a71cfad77,RYK,菱華工業(株) 平塚工場,CUST-51,Exact Code,RYK,菱華工業(株),5,19,2,26,KEEP (Matched)
eb11a948-879f-42d2-a94a-9677a97ed5f3,SAI,三愛化成商事(株),CUST-53,Exact Code,SAI,三愛化成商事,0,1,1,2,KEEP (Matched)
5fb0aee3-ab56-47e9-a61b-5ec26b10e8a1,NTT,NTT,CUST-30,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
f239451c-1e31-409e-98ac-22547c2c2301,SDK,(株) SDK,CUST-57,Exact Code,SDK,SDK,0,3,3,6,KEEP (Matched)
864078da-8d09-49fe-9f38-42ddad3fcf8a,OID,OID,CUST-35,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
7e90c664-c857-4593-8234-88808eab1343,OMG,OMG,CUST-36,No Match,,,1,7,2,10,ORPHAN WITH FKS (Requires Manual Check)
c323e745-afa5-463f-b190-92988f64647a,ONER,ONER,CUST-37,No Match,,,0,1,1,2,ORPHAN WITH FKS (Requires Manual Check)
23526c50-5ab8-42c2-9a38-e7aa4fac7fa2,ORM,ORM,CUST-40,No Match,,,16,5,3,24,ORPHAN WITH FKS (Requires Manual Check)
72603346-afe2-4b71-ac3e-86281c6591fb,OSI,大橋紙器印刷,CUST-41,No Match,,,0,3,2,5,ORPHAN WITH FKS (Requires Manual Check)
840b2a19-4bac-41a8-9dc5-575af5bfe595,OTAX,OTAX,CUST-42,No Match,,,9,46,8,63,ORPHAN WITH FKS (Requires Manual Check)
b7e7cc5d-7966-4c3f-af68-f9aa3569391e,OTD,オーテ電気,CUST-43,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
d389b269-2fa1-4a48-9ab4-545fe48c4899,OTJ,OTJ,CUST-44,No Match,,,3,2,0,5,ORPHAN WITH FKS (Requires Manual Check)
2db88519-edde-46a5-8040-879ad822ae6b,PLX,PLX,CUST-45,No Match,,,3,4,1,8,ORPHAN WITH FKS (Requires Manual Check)
62eef472-27c7-4aca-8b1e-003c050f3eb4,POS,POS,CUST-47,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
55769317-4f04-4568-8236-414d82d00381,RCH,RCH,CUST-49,No Match,,,0,21,16,37,ORPHAN WITH FKS (Requires Manual Check)
2bf9a975-1f07-4b9f-90fc-b90740713867,RKK,アール光学工業,CUST-50,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
e17a7106-5779-4dd2-b868-6a9055b845af,RYOKA,RYOKA,CUST-52,No Match,,,0,3,0,3,ORPHAN WITH FKS (Requires Manual Check)
ac3e3800-56cc-4f57-8e29-2446648e009a,SAIKO,SAIKO,CUST-54,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
32ccdd1b-8fd4-40f7-9395-e2b1da54d855,SAM,SAM,CUST-55,No Match,,,2,2,0,4,ORPHAN WITH FKS (Requires Manual Check)
bd75fc67-a784-4611-9578-20a9f7451793,SBK,SBK,CUST-56,No Match,,,0,1,0,1,ORPHAN WITH FKS (Requires Manual Check)
